gold externalButtons 873 on 440 pages / 198 modules (prepared 198, prep refused 0)
  source: HREF 526 · TEXT-only 140 · NONE 207 · NOPREP 0

== gold buttons by WT source signature (count · pages · modules · Claude today) ==
  NONE                                                        207 · 135 pages ·  84 mods · claude {"ABSENT":187,"PLAIN":7,"A":11,"BUTTON_PLAIN":1,"BUTTON":1}
  HREF/table                                                   74 ·  28 pages ·  24 mods · claude {"BUTTON_PLAIN":2,"A":38,"BUTTON":1,"ABSENT":29,"PLAIN":4}
  HREF/para/[button]/INLINE/URL                                43 ·  23 pages ·  14 mods · claude {"BUTTON_PLAIN":33,"ABSENT":2,"BUTTON":3,"A":5}
  TEXT/para/untagged/INLINE                                    33 ·  25 pages ·  19 mods · claude {"PLAIN":28,"ABSENT":2,"A":2,"BUTTON":1}
  HREF/para/[link]/STANDALONE/URL                              33 ·  22 pages ·  14 mods · claude {"BUTTON":13,"ABSENT":1,"A":5,"BUTTON_PLAIN":14}
  HREF/para/untagged/STANDALONE/URL                            25 ·  20 pages ·  16 mods · claude {"A":13,"BUTTON_PLAIN":6,"ABSENT":6}
  TEXT/table                                                   20 ·  15 pages ·   7 mods · claude {"PLAIN":19,"ABSENT":1}
  TEXT/para/[body]/INLINE                                      20 ·  20 pages ·  13 mods · claude {"PLAIN":19,"ABSENT":1}
  HREF/para/untagged/INLINE/URL                                20 ·  14 pages ·  10 mods · claude {"A":15,"ABSENT":3,"BUTTON_PLAIN":1,"PLAIN":1}
  HREF/para/[button  h]/INLINE/URL                             17 ·   5 pages ·   1 mods · claude {"BUTTON_PLAIN":17}
  HREF/para/[body]/INLINE/URL                                  11 ·  10 pages ·   9 mods · claude {"A":5,"BUTTON":4,"ABSENT":1,"BUTTON_PLAIN":1}
  HREF/para/[body]/INLINE                                      10 ·   8 pages ·   8 mods · claude {"A":3,"ABSENT":3,"BUTTON_PLAIN":1,"BUTTON":2,"PLAIN":1}
  HREF/para/[webpage]/STANDALONE                               10 ·   7 pages ·   3 mods · claude {"A":5,"BUTTON":5}
  HREF/para/[external link]/STANDALONE/URL                      9 ·   7 pages ·   7 mods · claude {"BUTTON":8,"BUTTON_PLAIN":1}
  HREF/para/[alerttop]/INLINE/URL                               9 ·   5 pages ·   4 mods · claude {"A":9}
  HREF/para/[link]/STANDALONE                                   9 ·   7 pages ·   4 mods · claude {"A":4,"BUTTON":5}
  HREF/para/[video]/INLINE/URL                                  8 ·   7 pages ·   5 mods · claude {"PLAIN":3,"ABSENT":2,"BUTTON":2,"A":1}
  HREF/para/untagged/STANDALONE                                 8 ·   7 pages ·   6 mods · claude {"ABSENT":1,"PLAIN":2,"A":5}
  HREF/para/[button]/INLINE                                     7 ·   3 pages ·   3 mods · claude {"BUTTON_PLAIN":6,"A":1}
