pairs scored: 1954

===== Bilingual — gold lines MISSING in Claude (occ | pages | modules) =====
     883 |    57 |   15 | ┌ 2× repeated:
     664 |    57 |   15 | p
     548 |    53 |   15 | div.row
     239 |    43 |   15 | img.img-fluid
     234 |    44 |   14 | b
     217 |    52 |   15 | div.col-md-8.col-12
     212 |    47 |   15 | h3
     182 |    44 |   13 | div.col-12
     167 |    47 |   15 | WIDGET
     127 |    40 |   13 | ┌ 4× repeated:
     118 |    45 |   16 | li
     115 |    18 |    6 | div.audioImage
      78 |    18 |    9 | h4
      73 |    31 |   13 | div.col-md-12.col-12
      68 |    36 |   12 | ul
      65 |    15 |    5 | span.sassoonI-text
      63 |    21 |    8 | i
      59 |    32 |   12 | ┌ 3× repeated:
      48 |    27 |    9 | div.col-md-4.offset-md-0.col-12
      45 |    34 |   14 | a
      39 |    31 |   12 | div.button
      37 |    24 |   12 | h2
      34 |    23 |   13 | ┌ 6× repeated:
      32 |    15 |    9 | br
      31 |    17 |    7 | div.alert
      30 |    29 |   15 | iframe
      30 |    21 |   13 | ┌ 5× repeated:
      28 |    23 |    9 | div.alertActivity
      28 |    23 |    8 | span
      27 |     7 |    3 | span.audioTrigger

===== Bilingual — Claude lines EXTRA vs gold (occ | pages | modules) =====
     752 |    55 |   16 | p
     582 |    55 |   16 | ┌ 2× repeated:
     345 |    49 |   15 | b
     203 |    48 |   16 | div.row
     164 |    45 |   16 | img.img-fluid
     155 |    53 |   16 | h3
     155 |    49 |   16 | div.col-md-8.col-12
     152 |    54 |   16 | WIDGET
     148 |    32 |   14 | audio.audioPlayer.icon
     147 |    47 |   16 | ┌ 4× repeated:
     102 |    33 |   12 | li
      88 |    33 |   14 | ┌ 3× repeated:
      56 |    26 |   12 | ┌ 6× repeated:
      55 |    21 |   12 | h4
      52 |    28 |   14 | div.col-12
      52 |    27 |    9 | ul
      36 |     5 |    4 | ol
      33 |    23 |   10 | ┌ 2× repeated block of 2:
      29 |    18 |    9 | ┌ 10× repeated:
      28 |    25 |   14 | div.videoSection.ratio.ratio-16x9
      25 |    22 |   14 | iframe
      25 |    16 |    7 | ┌ 8× repeated:
      24 |    18 |   14 | ┌ 5× repeated:
      21 |     5 |    5 | h5
      19 |    10 |    5 | a
      16 |    11 |    7 | div.alert.solid
      15 |    15 |    4 | h1
      15 |    15 |    4 | span
      14 |    13 |    7 | ┌ 5× repeated block of 2:
      12 |    10 |    8 | ┌ 12× repeated:

===== Fundamentals — gold lines MISSING in Claude (occ | pages | modules) =====
    2386 |    64 |   53 | p
