hyperlinked bracket runs: 600
by first word:
   226  audio              e.g. ('BLL140', '[audio button]', '1155cc')
    43  insert             e.g. ('BLL240', '[Insert animation - woman]', 'ff0000')
    27  audiovisual        e.g. ('BLL270', '[Audiovisual item 1]', 'auto')
    26  clickdrop          e.g. ('BLL260', '[Clickdrop 3 Image]', 'ee0000')
    12  av                 e.g. ('BLL256', '[AV item 2]', 'auto')
    10  number             e.g. ('MXDI201', '[Number and Operations]', '0000ff')
     5  image              e.g. ('TRR109', '[Image]', 'ee0000')
     4  audios             e.g. ('BLL220', '[audios]', '1155cc')
     4  video              e.g. ('HIS1003', '[Video link]', 'ff0000')
     3  scissors           e.g. ('BLL250', '[scissors]', '3494ba')
     3  embed              e.g. ('BLL261', '[embed text 1]', 'ee0000')
     3  activity           e.g. ('HIS1004', '[Activity individual]', 'ff0000')
     2  guide              e.g. ('XFUN01', '[Guide]', '000000')
     2  scratch            e.g. ('BLL240', '[scratch]', '3494ba')
     2  scientist          e.g. ('BLL250', '[scientist]', '3494ba')
     2  scent              e.g. ('BLL250', '[scent]', '3494ba')
     2  muscle             e.g. ('BLL250', '[muscle]', '3494ba')
     2  scythe             e.g. ('BLL250', '[scythe]', '3494ba')
     2  ascend             e.g. ('BLL250', '[ascend]', '3494ba')
     2  science            e.g. ('BLL250', '[science]', '3494ba')
     2  eighteen           e.g. ('BLL250', '[eighteen]', '3494ba')
     2  spring             e.g. ('BLL260', '[spring]', '0563c1')
     2  throat             e.g. ('BLL260', '[throat]', '0563c1')
     2  ai                 e.g. ('BLL246', '[AI audio]', '3494ba')
     1  piano              e.g. ('ARFUN02', '[Piano Vector]', '0070c0')
     1  aud                e.g. ('BLL230', '[aud io]', '1155cc')
     1  wrist              e.g. ('BLL240', '[wrist]', '3494ba')
     1  wring              e.g. ('BLL240', '[wring]', '3494ba')
     1  wrapper            e.g. ('BLL240', '[wrapper]', '3494ba')
     1  wreck              e.g. ('BLL240', '[wreck]', '3494ba')
by run colour: [('3494ba', 287), ('1155cc', 117), ('0563c1', 53), ('auto', 51), ('ee0000', 45), ('ff0000', 36), ('0000ff', 6), ('0070c0', 2)]
by target host: [('drive.google.com', 354), ('mytekuraschool.sharepoint.com', 111), ('(none)', 42), ('www.istockphoto.com', 29), ('www.youtube.com', 17), ('mytekuraschool-my.sharepoint.com', 14), ('about:blank', 13), ('docs.google.com', 10)]
gated modules per head (top): {'image': 4, 'piano': 1, 'guide': 1, 'audio': 48, 'audios': 2, 'aud': 1, 'insert': 14, 'wrist': 1, 'wring': 1, 'wrapper': 1, 'wreck': 1, 'wrinkled': 1, 'patch': 1, 'match': 1, 'stitch': 1, 'catch': 1, 'watch': 1, 'scratch': 1, 'hutch': 1, 'hedgehog': 1, 'badge': 1, 'bridge': 1, 'fudge': 1, 'fridge': 1, 'hedge': 1, 'lodge': 1, 'pair': 1, 'stairs': 1, 'hair': 1, 'fairy': 1, 'chair': 1, 'dairy': 1, 'fair': 1, 'earth': 1, 'tear': 1, 'hear': 1, 'search': 1, 'bear': 1, 'pearl': 1, 'fear': 1, 'spear': 1, 'here': 1, 'sphere': 1, 'persevere': 1, 'interfere': 1, 'where': 1, 'sincere': 1, 'meerkat': 1, 'steer': 1, 'deer': 1, 'cheer': 1, 'beer': 1, 'volunteer': 1, 'gacha': 1, 'ai': 1, 'neighbourhood': 1, 'arriving': 1, 'delivers': 1, 'neighbourly': 1, 'delicious': 1, 'kneels': 1, 'slices': 1, 'whare': 1, 'waiata': 1, 'manu': 1, 'p': 1, 'whakarongo': 1, 'mimicry': 1, 'afar': 1, 'throat': 1, 'upturned': 1, 'bobbing': 1, 'text': 1, 'audiovisual': 2, 'science': 1, 'scissors': 1, 'thumbprint': 1, 'laughter': 1, 'eighteen': 1, 'enough': 1, 'doubtful': 1, 'terrible': 1, 'capable': 1, 'possible': 1, 'gadgets': 1, 'pantry': 1, 'porch': 1, 'grumbled': 1, 'gasped': 1, 'unlocked': 1, 'rusty': 1, 'exploded': 1, 'squeak': 1, 'scooped': 1, 'burnt': 1, 'crept': 1, 'embed': 1, 'trailer': 1, 'full': 1, 'video': 2, 'activity': 2, 'h': 1, 'body': 1, 'interactive': 1, 'springboks': 1, 'number': 1, 'link': 1}
