module      pgD  pgON  leakD leakON  lostW  sample lost words (tag tokens + notes + dump text excluded)
AGH1001       6     6      0      0      0  []
AGH1004       7     7      0      0      0  []
AGH1005       9     9      0      0      0  []
AGH1006      10    10      1      1      0  []
ANZH203       7     7      0      0      0  []
ANZH301      11    11      0      0      0  []
ANZH304       7     7      0      0      0  []
ARFUN03       1     1      0      0      0  []
ARFUN04       1     1      0      0      0  []
ARFUN05       1     1      0      0      0  []
BLL113        3     3      0      0      0  []
BLL114        3     3      0      0      1  ['udio']
BLL115        3     3      0      0     10  ['note', 'writers', 'the', 'how', 'to', 'write']
BLL116        3     3      0      0      0  []
BLL120        1     1      0      0      0  []
BLL122        3     3      0      0      0  []
BLL123        3     3      0      0      0  []
BLL124        3     3      0      0      0  []
BLL126        3     3      0      0      0  []
BLL131        3     3      0      0      0  []
BLL133        3     3      0      0      0  []
BLL135        3     3      0      0      0  []
BLL137        3     3      0      0      0  []
BLL140        1     1      0      0     99  ['com', 'www', 'istockphoto', 'searchscope', '2cfilm', 'photo']
BLL141        3     3      0      0      0  []
BLL142        3     3      0      0      0  []
BLL143        3     3      0      0      0  []
BLL144        3     3      0      0      0  []
BLL145        3     3      0      0      0  []
BLL146        3     3      0      0      0  []
BLL147        3     3      0      0      0  []
BLL150        1     1      0      0    227  ['www', 'istockphoto', 'com', 'photo', 'https', 'searchscope']
BLL151        3     3      0      0     10  ['drive', 'note', 'https', 'writers', 'google', 'com']
BLL152        3     3      0      0      0  []
BLL153        3     3      0      0      0  []
BLL154        3     3      0      0      0  []
BLL155        3     3      0      0      0  []
BLL156        3     3      0      0      0  []
BLL157        3     3      0      0      9  ['drive', 'note', 'https', 'writers', 'google', 'com']
BLL160        1     1      0      0    114  ['www', 'istockphoto', 'com', 'photo', 'https', 'note']
BLL161        3     3      0      0      0  []
BLL162        3     3      0      0     18  ['drive', 'note', 'https', 'writers', 'google', 'com']
BLL163        3     3      0      0      0  []
BLL164        3     3      0      0      0  []
BLL165        3     3      0      0      0  []
BLL166        3     3      0      0      9  ['drive', 'note', 'https', 'writers', 'google', 'com']
BLL167        3     3      0      0      0  []
BLL170        1     1      0      0      2  ['audio']
BLL171        3     3      0      0      0  []
BLL172        3     3      0      0      2  ['note', 'writers']
BLL173        3     3      0      0      0  []
BLL174        3     3      0      0      0  []
BLL175        4     4      0      0      0  []
BLL176        3     3      0      0      2  ['note', 'writers']
BLL177        3     3      0      0      2  ['note', 'writers']
BLL210        1     1      0      0     15  ['note', 'writers', 'audio']
BLL211        3     3      0      0      2  ['note', 'writers']
BLL212        3     3      0      0      8  ['https', 'com', 'mytekuraschool-my', 'sharepoint', 'personal', 'shelley_haua_tekura_school_nz']
BLL213        3     3      0      0      0  []
BLL214        3     3      0      0      0  []
BLL215        3     3      0      0      2  ['note', 'writers']
BLL217        3     3      0      0      0  []
BLL220        1     1      0      0      1  ['audio']
BLL221        3     3      0      0      0  []
BLL222        3     3      0      0      0  []
BLL223        3     3      0      0      0  []
BLL224        3     3      0      0      0  []
BLL225        3     3      0      0      0  []
BLL227        3     3      0      0      0  []
BLL230        1     1      0      0     29  ['com', 'www', 'istockphoto', 'https', 'vector', 'photo']
BLL237        3     3      0      0      0  []
BLL240        9     9      0      0      0  []
BLL241        3     3      0      0     10  ['https', 'file', 'audio', 'drive', 'google', 'com']
BLL242        3     3      0      0      3  ['audio']
BLL245        3     3      0      0      0  []
BLL251        3     3      0      0     16  ['https', 'file', 'com', 'newzealandcurriculum', 'tahurangi', 'education']
BLL252        3     3      0      0      4  ['audio']
BLL253        3     3      0      0    341  ['com', 'shutterstock', 'www', 'image-photo', 'https', 'jpg']
BLL254        3     3      0      0      9  ['audiovisual', 'request', 'https', 'mytekuraschool', 'sharepoint', 'com']
BLL262        3     3      0      0      0  []
BLL263        3     3      0      0      0  []
CEDK102       1     1      0      0      0  []
CEDO105       6     6      0      0      0  []
CEDO501      16    16      0      0      0  []
CEDR204       1     1      0      0      0  []
CEDR302       1     1      0      0      0  []
CEDR501      11    11      0      0      0  []
CEDT104       1     1      1      1      4  ['to', 'your', 'go', 'journal']
CEDT501      15    15      0      0      0  []
ENFUN01       1     1      0      0      4  ['to', 'your', 'go', 'journal']
ENFUN08       1     1      0      0      0  []
ENG1004       8     8      0      0      0  []
ENG1005       6     6      0      0      0  []
ENGC101       6     6      0      0      0  []
ENGI101       4     4      0      0      0  []
ENGI102       7     7      2      2      0  []
ENGI405       8     8      0      0      0  []
ENGJ201       7     7      0      0      0  []
ENGJ402       9     9      0      0      0  []
ENGR102       7     7      0      0      0  []
ENGR201       7     7      0      0     12  ['to', 'your', 'go', 'journal']
ENGR202       8     8      0      0      0  []
ENGS202       7     7      0      0      0  []
ENGS401       7     7      0      0      0  []
EXPFUN04      1     1      0      0      0  []
HES1005       9     9      0      0      0  []
HIS1001       8     8      1      1      0  []
HIS1002      21    21      1      1     16  ['go', 'external', 'no', 'writers', 'given', 'designer']
HIS1003      11    11      0      0      0  []
HIS1004      11    11      0      0      0  []
HIS1005      15    15      2      2      8  ['to', 'your', 'journal', 'go']
HIS1008      12    12      0      0      0  []
HPRE203       8     8      0      0      0  []
MXDB201       7     7      0      0      0  []
MXDI201      11    11      1      1      0  []
MXEO201      10    10      0      0     12  ['marker', 'an', 'end', 'no', 'red', 'flag']
MXEO401       7     7      0      0      0  []
MXEX401       7     7      0      0      0  []
MXFU202      11    11      0      0      0  []
MXFU302      10    10      2      2      0  []
MXFUN01      19    19      1      1      0  []
OSBY101       4     4      0      0      0  []
OSGM301       4     4      0      0      0  []
PHE1005       6     6      0      0      0  []
SSCI205      10    10      0      0      0  []
SSFUN05       1     1      1      1      0  []
SSFUN06       1     1      0      0      0  []
SSFUN07       5     5      0      0      0  []
SSFUN08       1     1      0      0      0  []
SSOG101       8     8      0      0      0  []
SSOG103       7     7      0      0      0  []
TEDC401       8     8      0      0      0  []
TEDC402      11    11      0      0      0  []
TEFUN06       1     1      0      0      0  []
TEFUN07       1     1      1      1      0  []
TRR304        3     3      1      1      0  []
XDLS502       5     5      0      0      0  []
XDLS901       5     5      0      0      0  []
XDLS902       8     8      0      0      0  []
XDLS903       8     8      0      0      0  []
XDLS904       8     8      0      0      0  []
XDLS905       8     8      0      0      0  []
XDLS909       5     5      0      0      0  []
XLP04         5     5      0      0      0  []
XLP06         3     3      0      0      2  ['to', 'pdf']
XMES201       6     6      0      0      0  []
XWHA02        6     6      0      0      0  []

TOTAL leaks disk 15 -> ON 15 | modules with MORE leaks: none
lost words overall (top 30): [('com', 123), ('www', 94), ('istockphoto', 90), ('photo', 74), ('https', 62), ('writers', 24), ('searchscope', 24), ('2cfilm', 24), ('note', 23), ('shutterstock', 22), ('image-photo', 22), ('audio', 21), ('jpg', 20), ('media', 18), ('id', 18), ('2048x2048', 18), ('drive', 16), ('vector', 12), ('clickdrop', 10), ('to', 9), ('google', 9), ('is', 9), ('side', 8), ('go', 8), ('folders', 7), ('your', 7), ('journal', 7), ('these', 4), ('by', 4), ('please', 4)]
