AGH1001: widgets 1 (images 0); drags 7; defect 0 ✓
AGH1005: widgets 1 (images 0); drags 6; defect 0 ✓
ARFUN03: widgets 1 (images 0); drags 2; defect 0 ✓
BLL112: widgets 1 (images 1); drags 6; defect 0 ✓
BLL122: widgets 1 (images 1); drags 6; defect 0 ✓
BLL125: widgets 1 (images 1); drags 5; defect 0 ✓
BLL130: widgets 1 (images 1); drags 6; defect 0 ✓
BLL146: widgets 1 (images 1); drags 6; defect 0 ✓
BLL157: widgets 2 (images 0); drags 11; defect 0 ✓
BLL161: widgets 1 (images 1); drags 7; defect 0 ✓
BLL210: widgets 2 (images 1); drags 12; defect 0 ✓
BLL215: widgets 1 (images 0); drags 5; defect 0 ✓
BLL216: widgets 1 (images 0); drags 8; defect 0 ✓
BLL220: widgets 1 (images 1); drags 7; defect 0 ✓
BLL224: widgets 1 (images 1); drags 6; defect 0 ✓
BLL227: widgets 1 (images 0); drags 7; defect 0 ✓
BLL230: widgets 1 (images 1); drags 7; defect 0 ✓
BLL231: widgets 1 (images 0); drags 7; defect 0 ✓
BLL233: widgets 1 (images 1); drags 8; defect 0 ✓
BLL244: widgets 1 (images 1); drags 10; defect 0 ✓
CEDR501: widgets 1 (images 0); drags 6; defect 0 ✓
CHFUN05: widgets 1 (images 1); drags 4; defect 0 ✓
ENFUN01: widgets 1 (images 0); drags 5; defect 0 ✓
ENFUN02: widgets 1 (images 1); drags 7; defect 0 ✓
ENFUN03: widgets 3 (images 0); drags 12; defect 0 ✓
ENFUN04: widgets 3 (images 1); drags 19; defect 0 ✓
ENFUN05: widgets 1 (images 0); drags 8; defect 0 ✓
ENFUN07: widgets 2 (images 0); drags 10; defect 0 ✓
ENGC102: widgets 2 (images 0); drags 8; defect 0 ✓
ENGC202: widgets 1 (images 0); drags 8; defect 0 ✓
ENGC301: widgets 1 (images 0); drags 5; defect 0 ✓
ENGC401: widgets 1 (images 0); drags 2; defect 0 ✓
ENGI103: widgets 2 (images 0); drags 9; defect 0 ✓
ENGI203: widgets 2 (images 0); drags 6; defect 0 ✓
ENGI301: widgets 1 (images 0); drags 6; defect 0 ✓
ENGI401: widgets 2 (images 0); drags 10; defect 0 ✓
ENGJ102: widgets 1 (images 0); drags 6; defect 0 ✓
ENGJ301: widgets 1 (images 0); drags 8; defect 0 ✓
ENGJ402: widgets 2 (images 0); drags 13; defect 0 ✓
ENGR301: widgets 1 (images 0); drags 4; defect 0 ✓
ENGS102: widgets 1 (images 0); drags 5; defect 0 ✓
ENGS201: widgets 2 (images 1); drags 8; defect 0 ✓
ENGS302: widgets 1 (images 0); drags 5; defect 0 ✓
MXDI101: widgets 1 (images 0); drags 4; defect 0 ✓
MXEO201: widgets 1 (images 0); drags 6; defect 0 ✓
MXFL103: widgets 1 (images 0); drags 4; defect 0 ✓
MXFUN03: widgets 2 (images 2); drags 10; defect 0 ✓
OSGM101: widgets 1 (images 0); drags 5; defect 0 ✓
OSSM301: widgets 1 (images 0); drags 6; defect 0 ✓
PHE1005: widgets 1 (images 0); drags 4; defect 0 ✓
SSOG301: widgets 2 (images 0); drags 15; defect 0 ✓
TEFUN04: widgets 3 (images 0); drags 18; defect 0 ✓
TEFUN06: widgets 1 (images 0); drags 5; defect 0 ✓
XGF9003: widgets 2 (images 0); drags 23; defect 0 ✓
TOTAL: 72 widget(s) across 54 module(s); images 18; drags 413; defect 0.
RESULT: every built dragAndDrop is the KB 03B form ✓
