page                       gate before   after   delta | overlap before   after | matched lines before  after | verdict
CHFUN06_0_0.html                 56.11   25.50  -30.61 |          58.61   57.38 |                  143    140 | REAL dip
XTAS102_3_0.html                 53.48   43.22  -10.26 |          53.36   59.70 |                  143    160 | artefact (companion rises)
AGH1005_2_0.html                 49.26   52.11   +2.85 |          66.90   69.01 |                   95     98 | gain
AGH1005_3_0.html                 66.14   62.69   -3.46 |          67.14   67.14 |                   47     47 | REAL dip
AGH1005_4_0.html                 59.31   58.50   -0.81 |          60.53   60.53 |                   46     46 | REAL dip
AGH1005_6_0.html                 51.89   51.64   -0.24 |          45.32   45.32 |                   63     63 | REAL dip
AGH1005_7_0.html                 58.65   53.62   -5.02 |          54.32   58.02 |                   44     47 | artefact (companion rises)
ENFUN09_0_0.html                 17.57   13.35   -4.22 |          62.89   64.22 |                  283    289 | artefact (companion rises)
AGH1003_1_0.html                 58.76   58.03   -0.73 |          54.37   58.25 |                   56     60 | artefact (companion rises)
AGH1003_2_0.html                 59.57   55.85   -3.73 |          53.57   60.00 |                   75     84 | artefact (companion rises)
XGF9003_0_0.html                 42.16   38.61   -3.55 |          69.23   69.23 |                   45     45 | REAL dip
XLP01_1_0.html                   37.66   39.55   +1.90 |          42.52   50.39 |                   54     64 | gain
XLP01_2_0.html                   45.61   42.19   -3.43 |          69.66   69.66 |                   62     62 | REAL dip
XLP01_3_0.html                   55.21   65.96  +10.74 |          61.18   77.65 |                   52     66 | gain
XLP01_4_0.html                   50.00   48.37   -1.63 |          56.10   57.32 |                   46     47 | artefact (companion rises)
CEDW501_2_0.html                 67.06   63.74   -3.32 |          69.15   72.34 |                   65     68 | artefact (companion rises)
CEDW501_5_0.html                 46.88   46.63   -0.25 |          58.19   59.32 |                  103    105 | artefact (companion rises)
AGH1009_3_0.html                 46.24   43.00   -3.24 |          68.49   73.97 |                   50     54 | artefact (companion rises)
AGH1009_4_0.html                 56.76   57.72   +0.96 |          60.49   60.49 |                   98     98 | gain
AGH1009_5_0.html                 64.71   71.13   +6.43 |          49.55   63.96 |                   55     71 | gain
AGH1009_6_0.html                 55.38   53.14   -2.25 |          74.34   76.11 |                   84     86 | artefact (companion rises)
AGH1009_7_0.html                 53.68   61.74   +8.05 |          43.08   62.31 |                   56     81 | gain
AGH1009_8_0.html                 51.72   51.72   +0.00 |          53.40   53.40 |                   55     55 | REAL dip
AGH1009_9_0.html                 60.00   58.33   -1.67 |          51.96   58.82 |                   53     60 | artefact (companion rises)
OSBY301_2_0.html                 70.48   69.16   -1.32 |          68.52   70.37 |                   37     38 | artefact (companion rises)
OSBY301_3_0.html                 64.47   61.25   -3.22 |          60.92   64.37 |                   53     56 | artefact (companion rises)
AGH1006_1_0.html                 62.96   62.39   -0.58 |          67.86   69.64 |                   38     39 | artefact (companion rises)
AGH1006_2_0.html                 48.17   52.26   +4.09 |          61.90   65.48 |                   52     55 | gain
AGH1006_5_0.html                 51.76   48.28   -3.49 |          56.38   76.60 |                   53     72 | artefact (companion rises)
AGH1006_6_0.html                 50.55   49.47   -1.08 |          58.82   62.35 |                   50     53 | artefact (companion rises)
OSGM301_1_0.html                 54.69   68.03  +13.34 |          43.18   56.82 |                   38     50 | gain
