pairs 1955

===== Bilingual — gold has MORE of the line than Claude (DEFICIT: sum | pages | modules) =====
     408 |    48 |   15 | div.row
     199 |    30 |   11 | p
     153 |    39 |   12 | div.col-12
     124 |    36 |   13 | div.col-md-8.col-12
     122 |    27 |   11 | img.img-fluid
     115 |    18 |    6 | div.audioImage
      99 |    32 |   10 | h3
      88 |    24 |   10 | b
      73 |    31 |   13 | div.col-md-12.col-12
      65 |    27 |   16 | li
      65 |    15 |    5 | span.sassoonI-text
      57 |    19 |    8 | i
      57 |    18 |    9 | h4
      56 |    23 |   12 | WIDGET
      42 |    25 |    9 | div.col-md-4.offset-md-0.col-12
      41 |    31 |   12 | a
      39 |    31 |   12 | div.button
      38 |    20 |    9 | ul
      32 |    23 |   11 | h2
      32 |    15 |    9 | br
      31 |    17 |    7 | div.alert
      27 |     7 |    3 | span.audioTrigger
      25 |     5 |    3 | div.col.paddingR
      23 |    19 |    8 | div.alertActivity
      22 |    11 |   10 | ol
      21 |     8 |    6 | div.col-md-4.col-12
      20 |     5 |    1 | img.img-fluid.audioText
      19 |    10 |    3 | div.col-md-6.offset-md-0.col-12
      15 |    12 |    6 | div.alertImage
      14 |    14 |    9 | iframe
      13 |    13 |   13 | div.whakatauki
      13 |     8 |    4 | span
      13 |     9 |    6 | div.col-md-6.offset-md-3.col-12
      12 |    12 |   10 | div.row.selectionBox
      12 |     2 |    1 | p.popCaption
      11 |    11 |    7 | div.videoSection.ratio.ratio-16x9
      10 |    10 |    4 | div#module-menu-button.circle-button.btn1
      10 |    10 |    5 | div
      10 |    10 |    4 | div#module-head-buttons
      10 |     2 |    2 | div.col-md-4.col-6
       9 |     7 |    7 | div.row.flipCardsContainer
       9 |     9 |    9 | a#next-lesson
       9 |     7 |    3 | div.col-md-4.offset-md-0.col-12.paddingL
       8 |     8 |    5 | h1
       8 |     7 |    4 | div#o short.audioImageOption

===== Bilingual — Claude has MORE of the line than gold (SURPLUS: sum | pages | modules) =====
     275 |    29 |   13 | p
     192 |    31 |   12 | b
     145 |    32 |   14 | audio.audioPlayer.icon
      68 |    16 |   12 | div.col-md-8.col-12
      67 |    10 |    7 | div.row
      48 |     9 |    5 | li
      47 |    16 |    8 | img.img-fluid
      45 |    27 |   13 | WIDGET
      39 |    20 |   11 | h3
      34 |    16 |    9 | h4
      34 |     3 |    3 | ol
      21 |     9 |    6 | div.col-12
      21 |     8 |    6 | ul
      21 |     5 |    5 | h5
      16 |    11 |    7 | div.alert.solid
      15 |     7 |    4 | a
      14 |    12 |    8 | div.videoSection.ratio.ratio-16x9
       9 |     9 |    9 | div.acks.acksTemplate
       9 |     7 |    5 | iframe
       6 |     2 |    2 | tr
       6 |     2 |    2 | td
       5 |     3 |    2 | div.activity
       4 |     3 |    2 | div.alertActivity
       4 |     1 |    1 | i
       3 |     3 |    3 | div.activity.interactive[number=1.4]
       3 |     3 |    3 | div.activity.interactive[number=1.1]
       3 |     3 |    3 | div.activity.interactive[number=1.2]
       3 |     3 |    2 | div.col-md-4.offset-md-0.col-12
       3 |     3 |    3 | div#module-menu-content.moduleMenu
       3 |     3 |    3 | div.activity.interactive[number=2A]
       3 |     3 |    3 | div.activity.interactive[number=3.2]
       3 |     3 |    3 | div.activity.interactive[number=4.2]
       3 |     3 |    3 | div.acks.acksTemplate.acksAI
       2 |     2 |    2 | div.activity.interactive[number=1.5]
       2 |     2 |    2 | th
       2 |     2 |    2 | table.table.table-bordered
       2 |     2 |    2 | div.table-responsive
       2 |     1 |    1 | div.col-md-6.col-12
       2 |     2 |    1 | a#prev-lesson
       2 |     2 |    1 | a.home-nav
       2 |     2 |    2 | a#next-lesson
       2 |     2 |    1 | div#footer
       2 |     2 |    1 | ul.footer-nav
       2 |     2 |    2 | div.activity.interactive[number=3A]
       2 |     2 |    2 | div.activity.interactive[number=1.3]

===== Fundamentals — gold has MORE of the line than Claude (DEFICIT: sum | pages | modules) =====
     731 |    43 |   32 | p
     613 |    31 |   25 | div.row
     544 |    51 |   44 | h3
     320 |    45 |   37 | br
     269 |     5 |    5 | span.ch-text
     247 |    39 |   34 | WIDGET
     246 |    16 |   13 | div.col-md-8.col-12
     207 |     5 |    5 | span.pinyin
     204 |    24 |   19 | img.img-fluid
     180 |    41 |   39 | h2
     172 |    25 |   25 | div.col-12
     169 |    24 |   21 | b
     136 |    28 |   22 | iframe.embed-responsive-item
     114 |    34 |   29 | div.col-md-12.col-12
     110 |    32 |   26 | div.videoSection.icon.ratio.ratio-16x9
      99 |    16 |   12 | li
      82 |    15 |    9 | h5
      82 |    22 |   20 | ul
      78 |    22 |   22 | div.col-md-3.offset-md-0.col-12
      77 |    19 |   19 | iframe
      77 |    16 |   15 | h4
      72 |    11 |    7 | td
      69 |    27 |   23 | span.infoTrigger
      67 |    19 |   16 | div.clickDropContent
      62 |    26 |   26 | div.col-md-11.col-12
      56 |    18 |   18 | div.col-md-3.offset-md-0.col-12.paddingL
      56 |    18 |   12 | div.col-8
      55 |     9 |    8 | a
      51 |    19 |   15 | div.alert
      50 |    10 |    9 | div.externalButton
      49 |    15 |   12 | div.col-md-8.col-12.paddingR
      48 |    13 |   13 | div.col-11
      45 |    24 |   22 | div.alert.top
      43 |     4 |    4 | strong
      41 |    41 |   41 | div.acks
      40 |    22 |   22 | div.row.flipCardsContainer
      40 |    22 |   21 | div.col-md-10.col-12
      39 |    18 |   18 | div.alertImage
      37 |    10 |    7 | tr
      35 |    10 |   10 | i
      35 |    17 |   17 | div.col-md-6.offset-md-0.col-12.paddingL
      29 |     3 |    3 | div.videoSection.youtubeShort.ratio.ratio-1x1
      27 |    17 |   14 | div.alertActivity
      26 |     5 |    1 | div.col-md-8.col-12.offset-md-2
      25 |    10 |    5 | span

===== Fundamentals — Claude has MORE of the line than gold (SURPLUS: sum | pages | modules) =====
     781 |    45 |   40 | div.col-md-8.col-12
     714 |    31 |   27 | div.row
     563 |    17 |   17 | p
     462 |    36 |   36 | h5
     314 |    23 |   23 | b
     244 |    34 |   34 | li
     207 |    33 |   33 | img.img-fluid
     207 |    26 |   19 | div.col-12
     198 |    35 |   32 | h4
     174 |    35 |   35 | a
     170 |    32 |   27 | iframe
     134 |    21 |   21 | tr
     128 |    18 |   17 | WIDGET
     124 |    22 |   22 | ul
     119 |    22 |   22 | ol
     118 |    18 |   18 | td
     117 |    28 |   26 | div.activity
      87 |    12 |   12 | div.col-md-6.col-12
      83 |     8 |    7 | h3
      76 |    22 |   21 | th
      73 |    18 |   18 | i
      64 |    23 |   23 | table.table.table-bordered
      61 |     6 |    6 | div.videoSection.icon.ratio.ratio-16x9
      58 |    22 |   21 | div.button
      54 |    18 |   18 | div.table-responsive
      52 |    19 |   14 | div.videoSection.ratio.ratio-16x9
      47 |    47 |   47 | div.acks.acksTemplate
      33 |    16 |   16 | div.alert
      29 |    29 |   29 | a#next-lesson
      22 |     8 |    4 | div.activity.interactive
      22 |     2 |    2 | div.inquiryPanel
      19 |    11 |    8 | div.alert.solid
      19 |     8 |    8 | div.col-md-4.col-12
      18 |    10 |   10 | div.row.phaseContainer
      17 |    11 |   11 | div.col-md-4.col-12.paddingLR
      17 |     2 |    2 | div.fundamentalsPanel
      16 |     3 |    3 | div.clickDropContent
      14 |    14 |   14 | ul.footer-nav.fundamentals-nav
      13 |    13 |   13 | div.activity[number=3A]
      12 |    12 |   12 | div.activity[number=2A]
      11 |    10 |   10 | div.activity[number=1B]
      11 |    11 |    2 | body.fundamentals.container-fluid
      10 |     9 |    9 | div.activity[number=3B]
      10 |    10 |   10 | div.activity[number=1A]
      10 |     9 |    9 | div.activity[number=4A]

===== Inquiry — gold has MORE of the line than Claude (DEFICIT: sum | pages | modules) =====
     964 |    58 |   33 | p
     614 |    44 |   26 | div.row
     475 |    62 |   36 | h3
     440 |    45 |   29 | div.col-12
     385 |    63 |   35 | WIDGET
     374 |    46 |   29 | div.clickDropContent
     364 |    51 |   36 | img.img-fluid
     234 |    42 |   37 | h2
     202 |    44 |   25 | div.videoSection.icon.ratio.ratio-16x9
     199 |    46 |   23 | li
     188 |    38 |   20 | a
     187 |    36 |   26 | br
     181 |    38 |   25 | iframe
     180 |    40 |   29 | div.col-md-12.col-12
     157 |    14 |   12 | div.col-md-8.col-12
     140 |    39 |   20 | div.button
     132 |    34 |   24 | h4
     119 |    11 |   11 | div.col-4
     115 |    25 |   13 | iframe.embed-responsive-item
     112 |    29 |   14 | div.videoSection.ratio.ratio-16x9
     109 |     9 |    9 | div.buttonD
     105 |    34 |   16 | ul
      92 |    22 |   20 | ol
      90 |    33 |   19 | b
      87 |    12 |    9 | div.col-8
      85 |    18 |    8 | div.row.clickDropContent.noBorder
      78 |     6 |    6 | span.sassoonI-text
      76 |     6 |    6 | div.audioImage
      71 |    18 |   12 | td
      71 |    15 |   15 | div.inquiryPanel
      69 |    21 |   19 | i
      68 |     3 |    3 | div.item
      66 |    28 |   26 | span
      66 |    23 |   17 | div.alertImage
      65 |     3 |    3 | div.col-md-12.col-12.viewer
      63 |    18 |   12 | div.col-md-4.col-12.paddingLR
      60 |    12 |    3 | div.col-12.col-md-8
      56 |    21 |   15 | div.row.flipCardsContainer
      55 |    15 |   14 | div.col-md-10.col-12
      54 |    16 |   14 | div.row.supervisor
      51 |    29 |   17 | div.alert
      51 |    27 |    7 | h5
      48 |    13 |   12 | tr
      46 |    28 |   13 | div.col-md-4.offset-md-0.col-12
      43 |    19 |    8 | div.col-md-8.col-12.choicePage.choiceHeightMatch

===== Inquiry — Claude has MORE of the line than gold (SURPLUS: sum | pages | modules) =====
     688 |    67 |   32 | div.col-md-8.col-12
     427 |    44 |   19 | div.row
     271 |    32 |   22 | b
     254 |    21 |   17 | td
     226 |    34 |   20 | a
     215 |    22 |   13 | p
     210 |    35 |   27 | h5
     185 |    29 |   19 | tr
     161 |    30 |   17 | li
     139 |    34 |   17 | div.col-12
     127 |    26 |   17 | h4
     123 |    26 |   24 | ul
     120 |    28 |   14 | div.button
     116 |    28 |   14 | iframe
     116 |    34 |   18 | div.videoSection.ratio.ratio-16x9
     100 |     5 |    5 | img.img-fluid.TKmodalButton
      98 |     8 |    6 | div.TKmodal
      91 |    33 |   21 | table.table.table-bordered
      79 |    16 |   15 | audio.audioPlayer.icon
      77 |    29 |   19 | th
      63 |    11 |    8 | ol
      62 |    26 |   14 | i
      60 |    25 |   17 | div.table-responsive
      59 |    12 |    9 | h3
      48 |    11 |   10 | div.activity
      39 |    14 |   14 | div.alert.solid
      39 |    39 |   39 | div.acks.acksTemplate
      35 |    17 |   15 | div.alert
      33 |    15 |   15 | div.ratio.ratio-16x9
