OLD pairs 2476  SCAFFOLD 54.8170%  RAW 38.738%  >=50 1548  >=75 261  >=90 23
NEW pairs 2476  SCAFFOLD 54.7729%  RAW 38.708%  >=50 1543  >=75 261  >=90 23
delta SCAFFOLD -0.0441pp  RAW -0.029pp  >=50 -5  >=75 +0  >=90 +0
movers 123 (up 51 / down 72), pp-sum -109.3
movers outside the affected set: 0 []
new-only pages: 0  gone pages: 0
  OSOH301    OSOH301_2_0.html           57.7 ->   76.9  (+19.2)
  MXFU202    MXFU202_9_0.html           28.6 ->   40.1  (+11.5)
  MXFU401    MXFU401_3_0.html           35.1 ->   44.4  (+9.3)
  FRFUN07    FRFUN07_4_0.html           39.3 ->   48.2  (+9.0)
  XMES101    XMES101_6_0.html           54.5 ->   63.4  (+8.9)
  ANZH302    ANZH302_9_0.html           40.4 ->   47.1  (+6.7)
  MXEO301    MXEO301_5_0.html           43.5 ->   49.2  (+5.6)
  HPRE203    HPRE203_5_0.html           51.1 ->   56.7  (+5.6)
  MXDI201    MXDI201_6_0.html           42.6 ->   46.9  (+4.3)
  MXDI103    MXDI103_6_0.html           43.9 ->   48.0  (+4.1)
  HIS1003    HIS1003_4_0.html           40.0 ->   43.9  (+3.9)
  XGF9003    XGF9003_1_0.html           36.3 ->   40.2  (+3.9)
  AGH1008    AGH1008_2_0.html           67.1 ->   71.0  (+3.9)
  HIS1008    HIS1008_5_0.html           72.7 ->   75.9  (+3.1)
  MXFL202    MXFL202_4_0.html           36.1 ->   39.0  (+2.9)
  MXDB202    MXDB202_1_0.html           41.1 ->   43.9  (+2.8)
  ANZH302    ANZH302_3_0.html           24.2 ->   27.0  (+2.8)
  ENGC101    ENGC101_2_0.html           63.2 ->   65.8  (+2.6)
  XDLS905    XDLS905_3_0.html           68.0 ->   70.5  (+2.5)
  OSBY501    OSBY501_5_0.html           55.8 ->   58.2  (+2.4)
  MXDB202    MXDB202_4_0.html           39.5 ->   41.8  (+2.3)
  MXDB102    MXDB102_2_0.html           83.0 ->   85.1  (+2.1)
  MXFU201    MXFU201_6_0.html           45.1 ->   47.2  (+2.1)
  MXDB102    MXDB102_3_0.html           70.6 ->   72.5  (+2.0)
  MXFU201    MXFU201_2_0.html           37.9 ->   39.5  (+1.5)
  ENGJ201    ENGJ201_4_0.html           60.3 ->   61.8  (+1.5)
  ENGC101    ENGC101_3_0.html           61.1 ->   62.5  (+1.5)
  ENGR102    ENGR102_6_0.html           50.2 ->   51.5  (+1.3)
  AGH1007    AGH1007_4_0.html           78.7 ->   80.0  (+1.3)
  MXFL401    MXFL401_4_0.html           36.9 ->   38.1  (+1.2)
  HIS1003    HIS1003_5_0.html           59.4 ->   60.6  (+1.1)
  BLL145     BLL145_1_1.html            58.8 ->   59.9  (+1.1)
  MXFU201    MXFU201_3_0.html           61.4 ->   62.4  (+1.1)
  AGH1009    AGH1009_5_0.html           71.8 ->   72.8  (+1.0)
  OSGM401    OSGM401_4_0.html           84.3 ->   85.3  (+1.0)
  OSAI301    OSAI301_3_0.html           54.6 ->   55.6  (+1.0)
  SCES201    SCES201_2_0.html           68.8 ->   69.7  (+0.9)
  XGF9002    XGF9002_8_0.html           58.7 ->   59.6  (+0.9)
  MXDI201    MXDI201_3_0.html           68.2 ->   69.1  (+0.9)
  XTAS103    XTAS103_2_0.html           71.1 ->   71.9  (+0.9)
  BLL262     BLL262_3_0.html            27.8 ->   28.7  (+0.9)
  AGH1009    AGH1009_7_0.html           64.1 ->   64.9  (+0.9)
  ENGI405    ENGI405_2_0.html           57.7 ->   58.6  (+0.8)
  XGF9004    XGF9004_4_0.html           36.5 ->   37.3  (+0.8)
  XFUN02     XFUN02_4_0.html            58.5 ->   59.3  (+0.7)
  ENGC101    ENGC101_5_0.html           55.1 ->   55.8  (+0.7)
  MXFL203    MXFL203_3_0.html           42.8 ->   43.4  (+0.7)
  XDLS904    XDLS904_5_0.html           39.5 ->   40.1  (+0.7)
  MXFL104    MXFL104_4_0.html           44.9 ->   45.5  (+0.7)
  HIS1005    HIS1005_4_0.html           47.4 ->   48.0  (+0.7)
  AGH1008    AGH1008_4_0.html           51.5 ->   52.1  (+0.6)
  TEDC402    TEDC402_5_0.html           32.4 ->   32.1  (-0.4)
  OSOH201    OSOH201_1_0.html           41.2 ->   40.7  (-0.5)
  ENGS302    ENGS302_6_0.html           38.7 ->   38.2  (-0.5)
  MXDI202    MXDI202_2_0.html           43.9 ->   43.3  (-0.6)
  MXFU201    MXFU201_1_0.html           38.3 ->   37.7  (-0.6)
  JPN1004    JPN1004_1_0.html           33.2 ->   32.7  (-0.6)
  GENO901    GENO901_2_0.html           51.1 ->   50.5  (-0.6)
  MXFL202    MXFL202_1_0.html           33.1 ->   32.5  (-0.7)
  HIS1004    HIS1004_2_0.html           40.8 ->   40.0  (-0.8)
  HIS1002    HIS1002_13_0.html          35.3 ->   34.5  (-0.8)
  SCBI301    SCBI301_7_0.html           72.0 ->   71.2  (-0.8)
  ENGS302    ENGS302_4_0.html           42.6 ->   41.8  (-0.8)
  BLL254     BLL254_1_0.html            51.3 ->   50.4  (-0.8)
  XMES203    XMES203_2_0.html           65.7 ->   64.8  (-0.9)
  XDLS908    XDLS908_6_0.html           53.2 ->   52.3  (-0.9)
  BLL273     BLL273_2_0.html            51.9 ->   51.0  (-1.0)
  HPRE203    HPRE203_6_0.html           76.2 ->   75.2  (-1.0)
  XGF9002    XGF9002_5_0.html           52.7 ->   51.7  (-1.0)
  BLL247     BLL247_1_0.html            57.6 ->   56.6  (-1.0)
  MXFL201    MXFL201_4_0.html           38.1 ->   37.1  (-1.0)
  ANZH301    ANZH301_6_0.html           56.4 ->   55.2  (-1.1)
  HIS1008    HIS1008_1_2.html           68.3 ->   67.1  (-1.2)
  CEDT301    CEDT301_3_0.html           59.4 ->   58.2  (-1.2)
  ENGS302    ENGS302_2_0.html           65.8 ->   64.6  (-1.3)
  SCBI301    SCBI301_6_0.html           69.7 ->   68.4  (-1.3)
  ANZH301    ANZH301_5_0.html           67.1 ->   65.7  (-1.4)
  OSBY201    OSBY201_3_0.html           40.4 ->   39.0  (-1.4)
  MXFL202    MXFL202_2_0.html           40.6 ->   39.0  (-1.6)
  MXDI202    MXDI202_9_0.html           69.7 ->   68.0  (-1.7)
  CEDW501    CEDW501_3_0.html           55.3 ->   53.6  (-1.7)
  BLL253     BLL253_1_0.html            59.7 ->   58.0  (-1.7)
  MXFL401    MXFL401_2_0.html           16.9 ->   15.2  (-1.7)
  ENGC206    ENGC206_6_0.html           63.0 ->   61.3  (-1.7)
  MXFL203    MXFL203_5_0.html           55.9 ->   53.8  (-2.2)
  MXFU201    MXFU201_7_0.html           56.4 ->   54.1  (-2.3)
  ENGC206    ENGC206_4_0.html           56.6 ->   54.3  (-2.3)
  HIS1003    HIS1003_1_0.html           49.2 ->   46.8  (-2.4)
  HIS1005    HIS1005_5_0.html           57.0 ->   54.3  (-2.7)
  MXFL203    MXFL203_4_0.html           61.3 ->   58.5  (-2.8)
  CEDT301    CEDT301_2_0.html           67.1 ->   64.3  (-2.9)
  TEDC402    TEDC402_6_0.html           39.2 ->   36.2  (-3.0)
  HIS1004    HIS1004_8_0.html           43.9 ->   40.9  (-3.0)
  PES1005    PES1005_7_0.html           78.5 ->   75.4  (-3.1)
  PES1005    PES1005_11_0.html          60.6 ->   57.1  (-3.4)
  BLL136     BLL136_1_0.html            64.8 ->   61.1  (-3.7)
  ANZH304    ANZH304_1_0.html           47.6 ->   43.9  (-3.8)
  ANZH304    ANZH304_3_0.html           57.0 ->   53.2  (-3.8)
  AGH1008    AGH1008_5_0.html           56.2 ->   52.2  (-3.9)
  MXFL201    MXFL201_5_0.html           44.0 ->   40.0  (-4.0)
  SSEA203    SSEA203_1_0.html           72.7 ->   68.6  (-4.1)
  ANZH301    ANZH301_3_0.html           49.2 ->   45.1  (-4.1)
  MXFL203    MXFL203_8_0.html           53.4 ->   49.0  (-4.4)
  BLL244     BLL244_1_0.html            65.2 ->   60.8  (-4.4)
  HIS1004    HIS1004_5_0.html           48.0 ->   43.5  (-4.4)
  MXFL204    MXFL204_9_0.html           58.3 ->   53.8  (-4.5)
  MXFL104    MXFL104_1_0.html           36.2 ->   31.3  (-4.9)
  ANZH304    ANZH304_4_0.html           60.3 ->   54.8  (-5.5)
  ANZH104    ANZH104_3_0.html           76.7 ->   71.2  (-5.5)
  XGF9006    XGF9006_4_0.html           31.2 ->   25.6  (-5.6)
  MXFL204    MXFL204_7_0.html           40.0 ->   34.0  (-6.0)
  HIS1004    HIS1004_9_0.html           50.7 ->   44.5  (-6.2)
  HES1003    HES1003_2_0.html           63.7 ->   57.5  (-6.2)
  MXDI202    MXDI202_8_0.html           55.1 ->   48.8  (-6.3)
  BLL231     BLL231_1_0.html            73.5 ->   66.7  (-6.8)
  MXFU202    MXFU202_8_0.html           44.4 ->   37.5  (-6.9)
  ANZH302    ANZH302_4_0.html           47.5 ->   40.4  (-7.1)
  HIS1005    HIS1005_2_0.html           37.3 ->   29.8  (-7.5)
  ENGS401    ENGS401_4_0.html           66.1 ->   56.0  (-10.1)
  ENGJ102    ENGJ102_4_0.html           64.1 ->   51.6  (-12.5)
  XTAS102    XTAS102_2_0.html           60.7 ->   46.4  (-14.3)
