OLD pairs 2476  SCAFFOLD 54.7726%  RAW 38.708%  >=50 1542  >=75 261  >=90 23
NEW pairs 2477  SCAFFOLD 54.7409%  RAW 38.689%  >=50 1542  >=75 260  >=90 23
delta SCAFFOLD -0.0317pp  RAW -0.019pp  >=50 +0  >=75 -1  >=90 +0
movers 111 (up 52 / down 59), pp-sum -70.1
movers outside the affected set: 0 []
new-only pages: 2  gone pages: 1
  PES1001    PES1001_10_0.html          51.9 ->   59.0  (+7.0)
  MXFL204    MXFL204_3_0.html           33.2 ->   39.6  (+6.4)
  CEDR101    CEDR101_0_0.html           68.1 ->   72.4  (+4.3)
  PHE1001    PHE1001_2_0.html           46.2 ->   50.0  (+3.8)
  AGH1006    AGH1006_1_0.html           62.4 ->   65.5  (+3.1)
  EXIP901    EXIP901_1_0.html           31.1 ->   34.1  (+3.0)
  ENGR301    ENGR301_7_0.html           70.2 ->   72.3  (+2.1)
  AGH1005    AGH1005_4_0.html           59.9 ->   61.8  (+2.0)
  MXDB302    MXDB302_2_0.html           43.7 ->   45.5  (+1.9)
  PHE1007    PHE1007_9_0.html           49.6 ->   51.2  (+1.6)
  ENGI400    ENGI400_2_0.html           67.8 ->   69.3  (+1.5)
  MXFL203    MXFL203_10_0.html          39.4 ->   40.9  (+1.5)
  ENGI400    ENGI400_3_0.html           57.1 ->   58.5  (+1.4)
  CEDO402    CEDO402_0_0.html           34.3 ->   35.6  (+1.3)
  AGH1004    AGH1004_1_0.html           52.2 ->   53.5  (+1.3)
  AGH1006    AGH1006_4_0.html           36.9 ->   38.1  (+1.3)
  HPRE203    HPRE203_3_0.html           72.6 ->   73.6  (+1.1)
  HPRE203    HPRE203_4_0.html           62.7 ->   63.7  (+1.0)
  MXFU202    MXFU202_4_0.html           38.0 ->   38.8  (+0.9)
  AGH1006    AGH1006_8_0.html           50.0 ->   50.8  (+0.8)
  MXFU202    MXFU202_6_0.html           35.5 ->   36.2  (+0.7)
  MXFU202    MXFU202_5_0.html           39.4 ->   40.0  (+0.6)
  CBI1008    CBI1008_2_0.html           16.4 ->   16.9  (+0.5)
  EXBP901    EXBP901_3_0.html           26.5 ->   27.0  (+0.5)
  PHE1005    PHE1005_5_0.html           46.9 ->   47.4  (+0.5)
  EXIP901    EXIP901_5_0.html           27.4 ->   27.9  (+0.4)
  PHE1001    PHE1001_4_0.html           44.2 ->   44.6  (+0.4)
  PES1001    PES1001_1_0.html           40.0 ->   40.4  (+0.4)
  HPRE203    HPRE203_5_0.html           56.7 ->   57.1  (+0.4)
  ENGS201    ENGS201_3_0.html           70.6 ->   71.0  (+0.4)
  MXFL203    MXFL203_2_0.html           60.2 ->   60.5  (+0.3)
  PHE1006    PHE1006_5_0.html           36.7 ->   37.0  (+0.3)
  MXDI201    MXDI201_4_0.html           34.5 ->   34.7  (+0.3)
  MXDI201    MXDI201_2_0.html           56.7 ->   57.0  (+0.3)
  AGH1006    AGH1006_6_0.html           49.5 ->   49.7  (+0.3)
  CBI1009    CBI1009_2_0.html           27.1 ->   27.4  (+0.3)
  AGH1006    AGH1006_2_0.html           50.8 ->   51.0  (+0.3)
  ENGI401    ENGI401_7_0.html           43.8 ->   44.0  (+0.2)
  MXFL203    MXFL203_6_0.html           26.6 ->   26.8  (+0.2)
  MXFU201    MXFU201_4_0.html           52.4 ->   52.6  (+0.2)
  MXFU302    MXFU302_9_0.html           43.2 ->   43.4  (+0.2)
  HIS1005    HIS1005_9_1.html           48.1 ->   48.3  (+0.2)
  EXBP901    EXBP901_2_0.html           25.7 ->   25.9  (+0.2)
  MXFL203    MXFL203_3_0.html           43.4 ->   43.6  (+0.2)
  MXFU202    MXFU202_8_0.html           37.5 ->   37.7  (+0.1)
  ANZH304    ANZH304_1_0.html           43.9 ->   44.0  (+0.1)
  MXFU201    MXFU201_2_0.html           39.5 ->   39.6  (+0.1)
  MXFU202    MXFU202_1_0.html           29.9 ->   30.0  (+0.1)
  GEO1006    GEO1006_3_0.html           17.2 ->   17.3  (+0.1)
  TEDC402    TEDC402_6_0.html           36.2 ->   36.3  (+0.1)
  EXBP901    EXBP901_4_0.html           28.4 ->   28.4  (+0.1)
  CEDO204    CEDO204_0_0.html           36.3 ->   36.4  (+0.1)
  CBI1009    CBI1009_3_0.html           28.9 ->   28.9  (-0.0)
  CBI1008    CBI1008_1_0.html           38.6 ->   38.3  (-0.3)
  EXIP901    EXIP901_2_0.html           50.6 ->   50.3  (-0.3)
  MXFU201    MXFU201_1_0.html           37.7 ->   37.3  (-0.4)
  MXFU202    MXFU202_2_0.html           28.6 ->   28.2  (-0.4)
  EXIP901    EXIP901_4_0.html           10.6 ->   10.0  (-0.5)
  MXFU202    MXFU202_3_0.html           32.9 ->   32.3  (-0.6)
  EXBP901    EXBP901_1_0.html           30.6 ->   29.8  (-0.8)
  MXDI201    MXDI201_7_0.html           54.7 ->   53.8  (-0.9)
  MXFL203    MXFL203_8_0.html           49.0 ->   48.1  (-1.0)
  MXFL203    MXFL203_11_0.html          52.6 ->   51.6  (-1.0)
  SSCI104    SSCI104_3_0.html           41.2 ->   40.2  (-1.0)
  PES1001    PES1001_5_0.html           45.1 ->   44.1  (-1.0)
  PHE1008    PHE1008_4_0.html           52.1 ->   51.1  (-1.0)
  MXDI201    MXDI201_5_0.html           47.9 ->   46.8  (-1.1)
  ENGI401    ENGI401_8_0.html           73.9 ->   72.8  (-1.1)
  MXDI201    MXDI201_6_0.html           46.9 ->   45.8  (-1.1)
  MXDB302    MXDB302_7_0.html           42.5 ->   41.4  (-1.1)
  MXFL302    MXFL302_3_0.html           46.4 ->   45.2  (-1.2)
  CBI1005    CBI1005_2_0.html           75.2 ->   73.9  (-1.2)
  MXDB302    MXDB302_8_0.html           66.4 ->   65.2  (-1.3)
  MXDB302    MXDB302_5_0.html           45.1 ->   43.8  (-1.3)
  EXPFUN02   EXPFUN02_0_0.html          20.9 ->   19.5  (-1.5)
  PES1005    PES1005_11_0.html          57.1 ->   55.7  (-1.5)
  PHE1008    PHE1008_2_0.html           57.8 ->   56.3  (-1.5)
  MXFU301    MXFU301_3_0.html           34.0 ->   32.5  (-1.5)
  MXFU201    MXFU201_8_0.html           52.7 ->   51.1  (-1.5)
  MXDI201    MXDI201_8_0.html           59.1 ->   57.5  (-1.6)
  MXFL203    MXFL203_1_0.html           66.0 ->   64.5  (-1.6)
  MXFU302    MXFU302_1_0.html           50.5 ->   48.9  (-1.6)
  MXFL203    MXFL203_4_0.html           58.5 ->   56.9  (-1.6)
  HES1005    HES1005_7_0.html           41.7 ->   40.0  (-1.7)
  MXDB302    MXDB302_3_0.html           48.1 ->   46.4  (-1.7)
  PES1001    PES1001_7_0.html           69.6 ->   67.8  (-1.7)
  MXFU201    MXFU201_3_0.html           62.4 ->   60.6  (-1.8)
  ANZH203    ANZH203_3_0.html           70.3 ->   68.3  (-2.0)
  HES1005    HES1005_8_0.html           53.4 ->   51.2  (-2.2)
  PHE1008    PHE1008_1_0.html           48.4 ->   46.2  (-2.2)
  AGH1004    AGH1004_3_0.html           46.9 ->   44.6  (-2.3)
  MXFU201    MXFU201_9_0.html           47.9 ->   45.5  (-2.3)
  MXDI201    MXDI201_9_0.html           45.2 ->   42.9  (-2.3)
  MXDB302    MXDB302_4_0.html           55.4 ->   53.0  (-2.4)
  HES1002    HES1002_1_0.html           52.9 ->   50.4  (-2.5)
  HES1005    HES1005_2_0.html           57.4 ->   54.8  (-2.5)
  HES1005    HES1005_1_0.html           63.4 ->   60.7  (-2.8)
  PHE1001    PHE1001_3_0.html           72.2 ->   69.2  (-3.1)
  PES1002    PES1002_10_0.html          44.8 ->   41.7  (-3.1)
  PHE1006    PHE1006_2_0.html           67.9 ->   64.8  (-3.2)
  PHE1006    PHE1006_3_0.html           66.0 ->   62.9  (-3.2)
  HES1005    HES1005_6_0.html           69.3 ->   66.0  (-3.3)
  MXFU201    MXFU201_5_0.html           69.1 ->   65.8  (-3.4)
  HES1005    HES1005_3_0.html           50.3 ->   46.7  (-3.6)
  HES1002    HES1002_2_0.html           66.0 ->   62.4  (-3.6)
  HES1002    HES1002_6_0.html           51.1 ->   46.8  (-4.3)
  MXDI201    MXDI201_3_0.html           69.1 ->   64.5  (-4.6)
  ENGI405    ENGI405_5_0.html           44.6 ->   38.4  (-6.1)
