OLD pairs 2491  SCAFFOLD 55.2277%  RAW 39.200%  >=50 1576  >=75 276  >=90 25
NEW pairs 2491  SCAFFOLD 55.2315%  RAW 39.194%  >=50 1577  >=75 276  >=90 25
delta SCAFFOLD +0.0039pp  RAW -0.006pp  >=50 +1  >=75 +0  >=90 +0
movers 15 (up 12 / down 3), pp-sum +9.6
movers outside the affected set: 0 []
new-only pages: 0  gone pages: 0
  OSSM401    OSSM401_3_0.html           47.2 ->   51.7  (+4.5)
  ENGJ101    ENGJ101_2_0.html           70.3 ->   72.1  (+1.8)
  ENGJ101    ENGJ101_1_0.html           69.7 ->   71.1  (+1.4)
  CEDT102    CEDT102_0_0.html           42.3 ->   43.6  (+1.3)
  MXEO301    MXEO301_7_0.html           52.1 ->   53.0  (+1.0)
  MXFL401    MXFL401_4_0.html           38.1 ->   38.8  (+0.7)
  OSOH101    OSOH101_2_0.html           57.0 ->   57.6  (+0.6)
  CEDR203    CEDR203_0_0.html           32.3 ->   32.7  (+0.4)
  HPRE301    HPRE301_10_0.html          57.7 ->   58.1  (+0.4)
  HIS1005    HIS1005_3_0.html           53.1 ->   53.3  (+0.2)
  CEDK102    CEDK102_0_0.html           41.8 ->   41.8  (+0.1)
  BLL210     BLL210_0_0.html            60.9 ->   61.0  (+0.0)
  TEFUN03    TEFUN03_0_0.html           14.9 ->   14.7  (-0.1)
  BLL240     BLL240_0_0.html            58.8 ->   58.4  (-0.3)
  PWY1009    PWY1009_2_2_0.html         55.2 ->   52.9  (-2.4)
