OLD pairs 2491  SCAFFOLD 55.3885%  RAW 39.342%  >=50 1586  >=75 277  >=90 26
NEW pairs 2491  SCAFFOLD 55.3954%  RAW 39.371%  >=50 1587  >=75 276  >=90 26
delta SCAFFOLD +0.0069pp  RAW +0.029pp  >=50 +1  >=75 -1  >=90 +0
movers 41 (up 17 / down 24), pp-sum +17.3
movers outside the affected set: 0 []
new-only pages: 0  gone pages: 0
  XMES201    XMES201_0_0.html           57.7 ->   68.6  (+10.8)
  XDLS912    XDLS912_2_0.html           37.9 ->   47.1  (+9.2)
  FRNO901    FRNO901_1_0.html           49.1 ->   56.6  (+7.5)
  XTAS103    XTAS103_0_0.html           47.4 ->   51.4  (+4.0)
  XTAS101    XTAS101_4_0.html           32.2 ->   35.7  (+3.5)
  MXEO401    MXEO401_0_0.html           66.7 ->   69.7  (+3.0)
  AGH1003    AGH1003_1_0.html           58.6 ->   61.1  (+2.5)
  AGH1002    AGH1002_5_0.html           76.0 ->   78.1  (+2.1)
  FRFUN06    FRFUN06_4_0.html           47.7 ->   49.5  (+1.8)
  XMES202    XMES202_4_0.html           62.2 ->   63.8  (+1.6)
  BLL137     BLL137_1_1.html            69.0 ->   70.1  (+1.1)
  XTAS102    XTAS102_3_0.html           54.3 ->   55.0  (+0.8)
  XTAS102    XTAS102_0_0.html           37.0 ->   37.8  (+0.7)
  AGH1003    AGH1003_3_0.html           47.3 ->   48.0  (+0.6)
  XTAS102    XTAS102_1_0.html           51.8 ->   52.2  (+0.4)
  CHFUN05    CHFUN05_0_0.html           48.2 ->   48.5  (+0.3)
  CEDW501    CEDW501_2_1.html           46.4 ->   46.7  (+0.3)
  CEDT501    CEDT501_2_0.html           53.4 ->   53.3  (-0.1)
  XMES103    XMES103_4_0.html           62.8 ->   62.5  (-0.3)
  MXFU402    MXFU402_3_0.html           45.5 ->   45.1  (-0.3)
  ENGI301    ENGI301_2_0.html           48.1 ->   47.8  (-0.4)
  ENFUN04    ENFUN04_0_0.html           55.1 ->   54.7  (-0.4)
  AGH1009    AGH1009_3_0.html           43.4 ->   43.0  (-0.4)
  FRNO901    FRNO901_3_0.html           52.3 ->   51.8  (-0.5)
  ENGR201    ENGR201_4_0.html           58.9 ->   58.4  (-0.5)
  XTAS102    XTAS102_4_0.html           56.3 ->   55.8  (-0.5)
  XLP01      XLP01_2_0.html             42.5 ->   42.0  (-0.5)
  CEDR501    CEDR501_2_0.html           34.0 ->   33.5  (-0.5)
  XLP01      XLP01_1_0.html             39.8 ->   39.1  (-0.7)
  XTAS101    XTAS101_2_0.html           47.7 ->   46.9  (-0.8)
  XMES103    XMES103_3_0.html           21.6 ->   20.6  (-0.9)
  CEDO502    CEDO502_1_1.html           57.8 ->   56.7  (-1.1)
  BLL157     BLL157_1_1.html            57.0 ->   55.8  (-1.2)
  XTAS103    XTAS103_4_0.html           60.4 ->   59.2  (-1.2)
  BLL127     BLL127_2_0.html            67.8 ->   66.7  (-1.2)
  BLL117     BLL117_2_0.html            60.1 ->   58.9  (-1.2)
  XMES103    XMES103_2_0.html           44.2 ->   42.0  (-2.2)
  FRFUN06    FRFUN06_5_0.html           44.4 ->   42.1  (-2.2)
  XFUN02     XFUN02_3_0.html            59.3 ->   56.1  (-3.2)
  XMES202    XMES202_2_0.html           51.4 ->   45.7  (-5.7)
  ENGJ201    ENGJ201_5_0.html           75.4 ->   68.3  (-7.2)
