
== ALL — Claude row-open h3 with no gold heading of that text: 764
   NOWHERE in gold — WT h3                192 (0.25)  pages  113 / modules  66
   NOWHERE in gold — WT untagged          110 (0.14)  pages   96 / modules  51
   NOWHERE in gold — WT h2                105 (0.14)  pages   84 / modules  51
   NOWHERE in gold — WT not found          97 (0.13)  pages   61 / modules  26
   gold inside WIDGET (h4)                 41 (0.05)  pages   17 / modules  12
   gold header/menu h1                     35 (0.05)  pages   34 / modules  22
   NOWHERE in gold — WT h1                 27 (0.04)  pages   26 / modules  14
   gold header/menu li                     26 (0.03)  pages    9 / modules   2
   gold p                                  16 (0.02)  pages   13 / modules  12
   NOWHERE in gold — WT title              16 (0.02)  pages   15 / modules  15
   NOWHERE in gold — WT h4                 15 (0.02)  pages   12 / modules   4
   gold merged into p                      10 (0.01)  pages    9 / modules   8
   gold inside WIDGET (li)                  9 (0.01)  pages    4 / modules   4
   NOWHERE in gold — WT introduction        8 (0.01)  pages    8 / modules   8
   gold reworded (p)                        7 (0.01)  pages    7 / modules   7
   gold inside WIDGET (h3)                  7 (0.01)  pages    3 / modules   3

== template=Standard — Claude row-open h3 with no gold heading of that text: 680
   NOWHERE in gold — WT h3                187 (0.28)  pages  111 / modules  64
   NOWHERE in gold — WT untagged          108 (0.16)  pages   94 / modules  49
   NOWHERE in gold — WT h2                 89 (0.13)  pages   74 / modules  43
   NOWHERE in gold — WT not found          55 (0.08)  pages   36 / modules  16
   gold inside WIDGET (h4)                 41 (0.06)  pages   17 / modules  12
   gold header/menu h1                     34 (0.05)  pages   33 / modules  21
   gold header/menu li                     26 (0.04)  pages    9 / modules   2
   NOWHERE in gold — WT title              16 (0.02)  pages   15 / modules  15
   NOWHERE in gold — WT h1                 15 (0.02)  pages   15 / modules   9
   NOWHERE in gold — WT h4                 15 (0.02)  pages   12 / modules   4
   gold p                                  14 (0.02)  pages   11 / modules  10
   gold merged into p                       8 (0.01)  pages    8 / modules   7
   gold inside WIDGET (li)                  8 (0.01)  pages    3 / modules   3
   NOWHERE in gold — WT introduction        8 (0.01)  pages    8 / modules   8
   gold reworded (p)                        7 (0.01)  pages    7 / modules   7
   gold inside WIDGET (h3)                  7 (0.01)  pages    3 / modules   3

