Claude row-opening h3 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h3: 2942
   gold h3 row-open                    1151 (0.39)  pages  695 / modules 240
   NOT-IN-GOLD                          784 (0.27)  pages  458 / modules 186
   gold h3 nested:activity              275 (0.09)  pages  188 / modules  89
   gold h2 row-open                     118 (0.04)  pages   81 / modules  39
   gold h3 inline after p               111 (0.04)  pages  104 / modules  65
   gold h3 col-open                      57 (0.02)  pages   44 / modules  21
   gold h4 row-open                      53 (0.02)  pages   37 / modules  19
   gold h3 nested:alert                  52 (0.02)  pages   51 / modules  23
   gold h4 nested:alert                  49 (0.02)  pages   41 / modules  17
   gold h3 deep                          48 (0.02)  pages   32 / modules  27
   gold h3 inline after br               31 (0.01)  pages   14 / modules   7
   gold h3 inline after WIDGET           18 (0.01)  pages   17 / modules  16
   gold h3 inline after video            16 (0.01)  pages   16 / modules   9
   gold h3 inline after row              16 (0.01)  pages   14 / modules   7

== template=Standard — Claude row-open h3: 2700
   gold h3 row-open                    1070 (0.40)  pages  658 / modules 229
   NOT-IN-GOLD                          700 (0.26)  pages  404 / modules 158
   gold h3 nested:activity              225 (0.08)  pages  157 / modules  77
   gold h2 row-open                     110 (0.04)  pages   75 / modules  35
   gold h3 inline after p               109 (0.04)  pages  102 / modules  64
   gold h3 col-open                      57 (0.02)  pages   44 / modules  21
   gold h4 row-open                      53 (0.02)  pages   37 / modules  19
   gold h3 nested:alert                  51 (0.02)  pages   50 / modules  22
   gold h4 nested:alert                  48 (0.02)  pages   40 / modules  16
   gold h3 deep                          45 (0.02)  pages   30 / modules  25
   gold h3 inline after br               31 (0.01)  pages   14 / modules   7
   gold h3 inline after WIDGET           18 (0.01)  pages   17 / modules  16
   gold h3 inline after video            16 (0.01)  pages   16 / modules   9
   gold h3 inline after row              16 (0.01)  pages   14 / modules   7

== template=Bilingual — Claude row-open h3: 141
   NOT-IN-GOLD                           61 (0.43)  pages   35 / modules  15
   gold h3 row-open                      37 (0.26)  pages   17 / modules   6
   gold h3 nested:activity               33 (0.23)  pages   21 / modules   7
   gold h2 row-open                       5 (0.04)  pages    3 / modules   2
   gold h2 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h2 deep                           1 (0.01)  pages    1 / modules   1
   gold h3 deep                           1 (0.01)  pages    1 / modules   1

== template=Inquiry — Claude row-open h3: 65
   NOT-IN-GOLD                           22 (0.34)  pages   18 / modules  12
   gold h3 nested:activity               15 (0.23)  pages    8 / modules   4
   gold h3 row-open                      14 (0.22)  pages   10 / modules   3
   gold h2 nested:panel                   5 (0.08)  pages    3 / modules   3
   gold h2 row-open                       3 (0.05)  pages    3 / modules   2
