Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 894
   NOT-IN-GOLD                          353 (0.39)  pages  139 / modules  85
   gold h4 row-open                     127 (0.14)  pages   72 / modules  39
   gold h3 row-open                      78 (0.09)  pages   50 / modules  34
   gold h4 inline after p                50 (0.06)  pages   42 / modules  33
   gold h3 nested:activity               44 (0.05)  pages   31 / modules  18
   gold h4 nested:activity               36 (0.04)  pages   16 / modules  13
   gold h4 deep                          21 (0.02)  pages   12 / modules  11
   gold h4 nested:alert                  20 (0.02)  pages   15 / modules  10
   gold h5 inline after p                19 (0.02)  pages   14 / modules  12
   gold h3 inline after p                12 (0.01)  pages    9 / modules   8
   gold h5 nested:table                  11 (0.01)  pages    3 / modules   3
   gold h4 inline after h3               10 (0.01)  pages   10 / modules   5
   gold h2 row-open                       8 (0.01)  pages    5 / modules   5
   gold h4 inline after alert             8 (0.01)  pages    6 / modules   5

== template=Standard — Claude row-open h4: 787
   NOT-IN-GOLD                          318 (0.40)  pages  128 / modules  75
   gold h4 row-open                     127 (0.16)  pages   72 / modules  39
   gold h3 row-open                      76 (0.10)  pages   48 / modules  33
   gold h4 inline after p                47 (0.06)  pages   41 / modules  32
   gold h3 nested:activity               37 (0.05)  pages   26 / modules  15
   gold h4 deep                          19 (0.02)  pages   11 / modules  10
   gold h5 inline after p                19 (0.02)  pages   14 / modules  12
   gold h4 nested:activity               18 (0.02)  pages   15 / modules  12
   gold h4 nested:alert                  18 (0.02)  pages   14 / modules   9
   gold h4 inline after h3               10 (0.01)  pages   10 / modules   5
   gold h3 inline after p                 9 (0.01)  pages    8 / modules   7
   gold h5 nested:table                   9 (0.01)  pages    2 / modules   2
   gold h2 row-open                       8 (0.01)  pages    5 / modules   5
   gold h5 deep                           7 (0.01)  pages    5 / modules   4

== template=Inquiry — Claude row-open h4: 70
   NOT-IN-GOLD                           26 (0.37)  pages    8 / modules   8
   gold h4 nested:activity               18 (0.26)  pages    1 / modules   1
   gold h3 nested:panel                   7 (0.10)  pages    3 / modules   3
   gold h3 nested:activity                6 (0.09)  pages    4 / modules   2
   gold h4 nested:panel                   4 (0.06)  pages    1 / modules   1
   gold h2 nested:panel                   3 (0.04)  pages    2 / modules   2
   gold h5 nested:table                   2 (0.03)  pages    1 / modules   1
   gold h3 row-open                       2 (0.03)  pages    2 / modules   1
   gold h4 nested:alert                   2 (0.03)  pages    1 / modules   1

== template=Bilingual — Claude row-open h4: 30
   gold h4 inline after h4                6 (0.20)  pages    1 / modules   1
   gold h3 inline after h3                6 (0.20)  pages    1 / modules   1
   NOT-IN-GOLD                            5 (0.17)  pages    2 / modules   1
   gold h4 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h4 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h3 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1

== subject=1-10 English — Claude row-open h4: 202
   gold h4 row-open                      55 (0.27)  pages   34 / modules  15
   NOT-IN-GOLD                           50 (0.25)  pages   19 / modules  14
   gold h3 row-open                      20 (0.10)  pages   13 / modules   8
   gold h4 inline after p                14 (0.07)  pages   13 / modules   8
   gold h3 nested:activity               12 (0.06)  pages   10 / modules   4
   gold h5 inline after p                11 (0.05)  pages    9 / modules   7
   gold h4 deep                          10 (0.05)  pages    5 / modules   4
   gold h4 nested:activity                7 (0.03)  pages    6 / modules   5
   gold h4 inline after br                4 (0.02)  pages    2 / modules   2
   gold h4 nested:alert                   3 (0.01)  pages    3 / modules   2
   gold h5 deep                           3 (0.01)  pages    3 / modules   2
   gold h5 row-open                       2 (0.01)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.01)  pages    1 / modules   1
   gold h5 nested:alert                   2 (0.01)  pages    2 / modules   1

== subject=Leaving to Learn — Claude row-open h4: 155
   NOT-IN-GOLD                           80 (0.52)  pages   22 / modules  10
   gold h3 row-open                      17 (0.11)  pages    6 / modules   4
   gold h3 nested:activity               16 (0.10)  pages    8 / modules   4
   gold h4 nested:alert                   9 (0.06)  pages    6 / modules   2
   gold h4 nested:activity                6 (0.04)  pages    4 / modules   2
   gold h3 inline after p                 5 (0.03)  pages    5 / modules   4
   gold h3 deep                           5 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 4 (0.03)  pages    3 / modules   2
   gold h4 inline after WIDGET            4 (0.03)  pages    2 / modules   2
   gold h4 row-open                       3 (0.02)  pages    2 / modules   2
   gold h3 nested:alert                   2 (0.01)  pages    2 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h5 row-open                       1 (0.01)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1

== subject=ConnectED — Claude row-open h4: 119
   NOT-IN-GOLD                           34 (0.29)  pages    8 / modules   4
   gold h4 row-open                      21 (0.18)  pages    5 / modules   1
   gold h4 nested:activity               19 (0.16)  pages    2 / modules   2
   gold h3 row-open                      13 (0.11)  pages    8 / modules   4
   gold h3 nested:activity               11 (0.09)  pages    9 / modules   6
   gold h4 nested:panel                   4 (0.03)  pages    1 / modules   1
   gold h3 nested:panel                   4 (0.03)  pages    2 / modules   2
   gold h5 nested:table                   2 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 2 (0.02)  pages    2 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    1 / modules   1
   gold h2 row-open                       2 (0.02)  pages    1 / modules   1
   gold h2 nested:panel                   2 (0.02)  pages    1 / modules   1
   gold h3 inline after row               1 (0.01)  pages    1 / modules   1
   gold h4 inline after object            1 (0.01)  pages    1 / modules   1

== subject=NCEA1 — Claude row-open h4: 102
   NOT-IN-GOLD                           59 (0.58)  pages   25 / modules  18
   gold h4 inline after p                 9 (0.09)  pages    8 / modules   7
   gold h4 inline after h3                7 (0.07)  pages    7 / modules   2
   gold h2 row-open                       5 (0.05)  pages    3 / modules   3
   gold h4 row-open                       4 (0.04)  pages    3 / modules   3
   gold h4 inline after row               3 (0.03)  pages    2 / modules   2
   gold h3 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after alert             2 (0.02)  pages    2 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    2 / modules   2
