Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 1174
   NOT-IN-GOLD                          444 (0.38)  pages  156 / modules 102
   gold h4 row-open                     129 (0.11)  pages   74 / modules  41
   gold h3 row-open                     122 (0.10)  pages   66 / modules  50
   gold h3 nested:activity               57 (0.05)  pages   37 / modules  24
   gold h4 inline after p                51 (0.04)  pages   43 / modules  34
   gold h4 inline after h3               47 (0.04)  pages   20 / modules  15
   gold h4 nested:activity               40 (0.03)  pages   20 / modules  17
   gold h3 inline after WIDGET           31 (0.03)  pages    6 / modules   6
   gold h2 row-open                      30 (0.03)  pages   13 / modules  13
   gold h4 deep                          23 (0.02)  pages   13 / modules  12
   gold h4 nested:alert                  22 (0.02)  pages   17 / modules  12
   gold h5 inline after p                20 (0.02)  pages   15 / modules  13
   gold h4 inline after list             16 (0.01)  pages    1 / modules   1
   gold h3 inline after p                15 (0.01)  pages   11 / modules  10

== template=Standard — Claude row-open h4: 787
   NOT-IN-GOLD                          318 (0.40)  pages  128 / modules  75
   gold h4 row-open                     127 (0.16)  pages   72 / modules  39
   gold h3 row-open                      76 (0.10)  pages   48 / modules  33
   gold h4 inline after p                47 (0.06)  pages   41 / modules  32
   gold h3 nested:activity               37 (0.05)  pages   26 / modules  15
   gold h4 deep                          19 (0.02)  pages   11 / modules  10
   gold h5 inline after p                19 (0.02)  pages   14 / modules  12
   gold h4 nested:activity               18 (0.02)  pages   15 / modules  12
   gold h4 nested:alert                  18 (0.02)  pages   14 / modules   9
   gold h4 inline after h3               10 (0.01)  pages   10 / modules   5
   gold h3 inline after p                 9 (0.01)  pages    8 / modules   7
   gold h5 nested:table                   9 (0.01)  pages    2 / modules   2
   gold h2 row-open                       8 (0.01)  pages    5 / modules   5
   gold h5 deep                           7 (0.01)  pages    5 / modules   4

== template=Fundamentals — Claude row-open h4: 206
   NOT-IN-GOLD                           85 (0.41)  pages   15 / modules  15
   gold h4 inline after h3               35 (0.17)  pages    8 / modules   8
   gold h3 row-open                      25 (0.12)  pages    9 / modules   9
   gold h4 inline after list             16 (0.08)  pages    1 / modules   1
   gold h2 row-open                      11 (0.05)  pages    4 / modules   4
   gold h3 nested:activity                8 (0.04)  pages    5 / modules   5
   gold h2 inline after p                 4 (0.02)  pages    1 / modules   1
   gold h3 inline after list              3 (0.01)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.01)  pages    1 / modules   1
   gold h3 inline after h2                2 (0.01)  pages    1 / modules   1
   gold h4 row-open                       2 (0.01)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.01)  pages    2 / modules   2
   gold h4 deep                           2 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.00)  pages    1 / modules   1

== template=Inquiry — Claude row-open h4: 151
   NOT-IN-GOLD                           36 (0.24)  pages   11 / modules  11
   gold h3 inline after WIDGET           28 (0.19)  pages    3 / modules   3
   gold h4 nested:activity               22 (0.15)  pages    5 / modules   5
   gold h3 row-open                      21 (0.14)  pages    9 / modules   8
   gold h2 row-open                      11 (0.07)  pages    4 / modules   4
   gold h3 nested:activity               11 (0.07)  pages    5 / modules   3
   gold h2 inline after WIDGET            6 (0.04)  pages    1 / modules   1
   gold h3 col-open                       4 (0.03)  pages    2 / modules   2
   gold h5 nested:table                   2 (0.01)  pages    1 / modules   1
   gold h4 deep                           2 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.01)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h3 inline after div               1 (0.01)  pages    1 / modules   1

== template=Bilingual — Claude row-open h4: 30
   gold h4 inline after h4                6 (0.20)  pages    1 / modules   1
   gold h3 inline after h3                6 (0.20)  pages    1 / modules   1
   NOT-IN-GOLD                            5 (0.17)  pages    2 / modules   1
   gold h4 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h4 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 inline after alert             3 (0.10)  pages    1 / modules   1
   gold h3 inline after p                 3 (0.10)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1

== subject=1-10 English — Claude row-open h4: 243
   NOT-IN-GOLD                           76 (0.31)  pages   27 / modules  22
   gold h4 row-open                      55 (0.23)  pages   34 / modules  15
   gold h3 row-open                      27 (0.11)  pages   17 / modules  12
   gold h3 nested:activity               15 (0.06)  pages   13 / modules   7
   gold h4 inline after p                14 (0.06)  pages   13 / modules   8
   gold h5 inline after p                11 (0.05)  pages    9 / modules   7
   gold h4 deep                          10 (0.04)  pages    5 / modules   4
   gold h4 nested:activity                7 (0.03)  pages    6 / modules   5
   gold h4 nested:alert                   5 (0.02)  pages    5 / modules   4
   gold h4 inline after br                4 (0.02)  pages    2 / modules   2
   gold h5 deep                           3 (0.01)  pages    3 / modules   2
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   2
   gold h5 row-open                       2 (0.01)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.01)  pages    1 / modules   1

== subject=Leaving to Learn — Claude row-open h4: 155
   NOT-IN-GOLD                           80 (0.52)  pages   22 / modules  10
   gold h3 row-open                      17 (0.11)  pages    6 / modules   4
   gold h3 nested:activity               16 (0.10)  pages    8 / modules   4
   gold h4 nested:alert                   9 (0.06)  pages    6 / modules   2
   gold h4 nested:activity                6 (0.04)  pages    4 / modules   2
   gold h3 inline after p                 5 (0.03)  pages    5 / modules   4
   gold h3 deep                           5 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 4 (0.03)  pages    3 / modules   2
   gold h4 inline after WIDGET            4 (0.03)  pages    2 / modules   2
   gold h4 row-open                       3 (0.02)  pages    2 / modules   2
   gold h3 nested:alert                   2 (0.01)  pages    2 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h5 row-open                       1 (0.01)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1

== subject=ConnectED — Claude row-open h4: 128
   NOT-IN-GOLD                           34 (0.27)  pages    8 / modules   4
   gold h4 nested:activity               23 (0.18)  pages    6 / modules   6
   gold h4 row-open                      21 (0.16)  pages    5 / modules   1
   gold h3 row-open                      17 (0.13)  pages   11 / modules   7
   gold h3 nested:activity               11 (0.09)  pages    9 / modules   6
   gold h2 row-open                       6 (0.05)  pages    3 / modules   3
   gold h5 nested:table                   2 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 2 (0.02)  pages    2 / modules   1
   gold h4 inline after h3                2 (0.02)  pages    2 / modules   2
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h3 inline after row               1 (0.01)  pages    1 / modules   1
   gold h3 col-open                       1 (0.01)  pages    1 / modules   1

== subject=NCEA1 — Claude row-open h4: 102
   NOT-IN-GOLD                           59 (0.58)  pages   25 / modules  18
