Claude row-opening h5 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h5: 277
   NOT-IN-GOLD                          147 (0.53)  pages   39 / modules  30
   gold h5 inline after p                19 (0.07)  pages   13 / modules   7
   gold h4 row-open                      11 (0.04)  pages   11 / modules  11
   gold h5 row-open                      11 (0.04)  pages    9 / modules   7
   gold h5 deep                           9 (0.03)  pages    4 / modules   4
   gold h4 inline after p                 8 (0.03)  pages    8 / modules   8
   gold h3 row-open                       8 (0.03)  pages    5 / modules   5
   gold h3 nested:panel                   7 (0.03)  pages    2 / modules   2
   gold h4 nested:alert                   7 (0.03)  pages    6 / modules   6
   gold h4 inline after img               6 (0.02)  pages    3 / modules   3
   gold h5 nested:alert                   4 (0.01)  pages    3 / modules   2
   gold h4 nested:activity                4 (0.01)  pages    4 / modules   4
   gold h3 inline after h3                4 (0.01)  pages    2 / modules   2
   gold h4 inline after div               3 (0.01)  pages    1 / modules   1

== template=Standard — Claude row-open h5: 189
   NOT-IN-GOLD                           85 (0.45)  pages   32 / modules  27
   gold h5 inline after p                19 (0.10)  pages   13 / modules   7
   gold h5 row-open                      11 (0.06)  pages    9 / modules   7
   gold h4 row-open                      10 (0.05)  pages   10 / modules  10
   gold h5 deep                           9 (0.05)  pages    4 / modules   4
   gold h4 inline after p                 7 (0.04)  pages    7 / modules   7
   gold h4 inline after img               6 (0.03)  pages    3 / modules   3
   gold h3 row-open                       6 (0.03)  pages    4 / modules   4
   gold h4 nested:alert                   5 (0.03)  pages    5 / modules   5
   gold h5 nested:alert                   4 (0.02)  pages    3 / modules   2
   gold h4 nested:activity                4 (0.02)  pages    4 / modules   4
   gold h4 inline after div               3 (0.02)  pages    1 / modules   1
   gold h4 inline after alert             2 (0.01)  pages    2 / modules   2
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   2

== template=Inquiry — Claude row-open h5: 72
   NOT-IN-GOLD                           58 (0.81)  pages    6 / modules   2
   gold h3 nested:panel                   7 (0.10)  pages    2 / modules   2
   gold h4 nested:panel                   2 (0.03)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.03)  pages    1 / modules   1
   gold h2 nested:panel                   1 (0.01)  pages    1 / modules   1
   gold h2 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.01)  pages    1 / modules   1

== subject=NCEA1 — Claude row-open h5: 108
   NOT-IN-GOLD                           94 (0.87)  pages   17 / modules   9
   gold h4 nested:alert                   4 (0.04)  pages    4 / modules   4
   gold h4 row-open                       2 (0.02)  pages    2 / modules   2
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h4 inline after list              1 (0.01)  pages    1 / modules   1
   gold h4 col-open                       1 (0.01)  pages    1 / modules   1
   gold h2 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject=1-10 English — Claude row-open h5: 67
   NOT-IN-GOLD                           16 (0.24)  pages    5 / modules   5
   gold h5 inline after p                15 (0.22)  pages    9 / modules   4
   gold h5 row-open                       8 (0.12)  pages    6 / modules   4
   gold h3 row-open                       5 (0.07)  pages    3 / modules   3
   gold h5 nested:alert                   4 (0.06)  pages    3 / modules   2
   gold h4 inline after div               3 (0.04)  pages    1 / modules   1
   gold h5 deep                           3 (0.04)  pages    2 / modules   2
   gold h4 inline after p                 2 (0.03)  pages    2 / modules   2
   gold h4 nested:activity                2 (0.03)  pages    2 / modules   2
   gold h4 deep                           2 (0.03)  pages    2 / modules   2
   gold h4 row-open                       1 (0.01)  pages    1 / modules   1
   gold h4 inline after img               1 (0.01)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h5 inline after video             1 (0.01)  pages    1 / modules   1

