Claude row-opening h5 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h5: 728
   NOT-IN-GOLD                          333 (0.46)  pages   56 / modules  47
   gold h5 deep                         169 (0.23)  pages    7 / modules   7
   gold h4 row-open                      30 (0.04)  pages   18 / modules  18
   gold h4 inline after p                27 (0.04)  pages   13 / modules  13
   gold h3 row-open                      24 (0.03)  pages   14 / modules  14
   gold h5 inline after p                23 (0.03)  pages   15 / modules   9
   gold h4 deep                          16 (0.02)  pages    3 / modules   3
   gold h4 nested:alert                  13 (0.02)  pages    9 / modules   9
   gold h5 row-open                      12 (0.02)  pages   10 / modules   8
   gold h4 inline after img               8 (0.01)  pages    5 / modules   5
   gold h3 inline after p                 7 (0.01)  pages    6 / modules   6
   gold h4 inline after list              6 (0.01)  pages    6 / modules   6
   gold h4 nested:activity                5 (0.01)  pages    5 / modules   5
   gold h3 deep                           4 (0.01)  pages    3 / modules   3

== template=Inquiry — Claude row-open h5: 275
   gold h5 deep                         160 (0.58)  pages    3 / modules   3
   NOT-IN-GOLD                           71 (0.26)  pages   11 / modules   7
   gold h4 deep                          14 (0.05)  pages    1 / modules   1
   gold h3 row-open                       8 (0.03)  pages    3 / modules   3
   gold h3 inline after p                 3 (0.01)  pages    2 / modules   2
   gold h3 inline after h2                2 (0.01)  pages    1 / modules   1
   gold h4 inline after img               2 (0.01)  pages    2 / modules   2
   gold h4 inline after p                 2 (0.01)  pages    1 / modules   1
   gold h4 row-open                       2 (0.01)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.00)  pages    1 / modules   1
   gold h5 nested:activity                1 (0.00)  pages    1 / modules   1
   gold h2 inline after row               1 (0.00)  pages    1 / modules   1
   gold h2 row-open                       1 (0.00)  pages    1 / modules   1

== template=Fundamentals — Claude row-open h5: 247
   NOT-IN-GOLD                          173 (0.70)  pages   12 / modules  12
   gold h4 inline after p                17 (0.07)  pages    4 / modules   4
   gold h4 row-open                      17 (0.07)  pages    5 / modules   5
   gold h3 row-open                       8 (0.03)  pages    6 / modules   6
   gold h4 nested:alert                   6 (0.02)  pages    3 / modules   3
   gold h3 deep                           4 (0.02)  pages    3 / modules   3
   gold h4 inline after video             4 (0.02)  pages    2 / modules   2
   gold h5 inline after p                 4 (0.02)  pages    2 / modules   2
   gold h4 inline after list              3 (0.01)  pages    3 / modules   3
   gold h3 nested:activity                2 (0.01)  pages    2 / modules   2
   gold h3 inline after p                 2 (0.01)  pages    2 / modules   2
   gold h4 inline after row               1 (0.00)  pages    1 / modules   1
   gold h4 inline after br                1 (0.00)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.00)  pages    1 / modules   1

== template=Standard — Claude row-open h5: 190
   NOT-IN-GOLD                           85 (0.45)  pages   32 / modules  27
   gold h5 inline after p                19 (0.10)  pages   13 / modules   7
   gold h5 row-open                      11 (0.06)  pages    9 / modules   7
   gold h4 row-open                      10 (0.05)  pages   10 / modules  10
   gold h5 deep                           9 (0.05)  pages    4 / modules   4
   gold h4 inline after p                 7 (0.04)  pages    7 / modules   7
   gold h4 inline after img               6 (0.03)  pages    3 / modules   3
   gold h3 row-open                       6 (0.03)  pages    4 / modules   4
   gold h4 nested:alert                   5 (0.03)  pages    5 / modules   5
   gold h5 nested:alert                   4 (0.02)  pages    3 / modules   2
   gold h4 nested:activity                4 (0.02)  pages    4 / modules   4
   gold h4 inline after div               3 (0.02)  pages    1 / modules   1
   gold h4 inline after alert             2 (0.01)  pages    2 / modules   2
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   2

== subject=EXPlore — Claude row-open h5: 188
   gold h5 deep                         160 (0.85)  pages    3 / modules   3
   gold h4 deep                          14 (0.07)  pages    1 / modules   1
   NOT-IN-GOLD                           12 (0.06)  pages    4 / modules   4
   gold h2 row-open                       2 (0.01)  pages    2 / modules   2

== subject=1-10 Arts — Claude row-open h5: 177
   NOT-IN-GOLD                          137 (0.77)  pages    2 / modules   2
   gold h4 inline after p                15 (0.08)  pages    2 / modules   2
   gold h4 row-open                      13 (0.07)  pages    2 / modules   2
   gold h3 row-open                       4 (0.02)  pages    2 / modules   2
   gold h4 inline after video             3 (0.02)  pages    1 / modules   1
   gold h4 inline after list              2 (0.01)  pages    2 / modules   2
   gold h3 deep                           1 (0.01)  pages    1 / modules   1
   gold h4 inline after row               1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1

== subject=NCEA1 — Claude row-open h5: 108
   NOT-IN-GOLD                           94 (0.87)  pages   17 / modules   9
   gold h4 nested:alert                   4 (0.04)  pages    4 / modules   4
   gold h4 row-open                       2 (0.02)  pages    2 / modules   2
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h4 inline after list              1 (0.01)  pages    1 / modules   1
   gold h4 col-open                       1 (0.01)  pages    1 / modules   1
   gold h2 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject=1-10 English — Claude row-open h5: 105
   NOT-IN-GOLD                           29 (0.28)  pages   11 / modules  11
   gold h5 inline after p                17 (0.16)  pages   10 / modules   5
   gold h3 row-open                       9 (0.09)  pages    7 / modules   7
   gold h5 row-open                       9 (0.09)  pages    7 / modules   5
   gold h4 nested:alert                   7 (0.07)  pages    4 / modules   4
   gold h5 nested:alert                   4 (0.04)  pages    3 / modules   2
   gold h4 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after p                 3 (0.03)  pages    3 / modules   3
   gold h4 nested:activity                3 (0.03)  pages    3 / modules   3
   gold h4 inline after div               3 (0.03)  pages    1 / modules   1
   gold h5 deep                           3 (0.03)  pages    2 / modules   2
   gold h3 inline after p                 2 (0.02)  pages    2 / modules   2
