pairs 1956; position-free ratio mean 73.082 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 229189 / claude 197222; EXTRA lines (claude over gold, per page) 45894; MISSING lines (gold over claude) 77861

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
   4818   1145   367    14711   17584  div.col-12.col-md-8  |  template=Standard 3390 (0.70); subject=1-10 Mathematics 792 (0.16); template=Fundamentals 738 (0.15); subject=NCEA1 670 (0.14)
   4257    818   319    27000   26107  div.row  |  template=Standard 3083 (0.72); subject=1-10 Mathematics 725 (0.17); subject=NCEA1 724 (0.17); template=Fundamentals 670 (0.16)
   3412    628   268    26777   24538  p  |  template=Standard 2360 (0.69); subject=1-10 Mathematics 661 (0.19); template=Fundamentals 580 (0.17); subject=NCEA1 489 (0.14)
   2010    660   287     3960    4663  b  |  template=Standard 1391 (0.69); subject=1-10 Mathematics 315 (0.16); template=Fundamentals 289 (0.14); subject=Leaving to Learn 258 (0.13)
   1976    647   298     9651    8280  ┌ 2× repeated:  |  template=Standard 1398 (0.71); subject=1-10 Blended Literacy 267 (0.14); subject=1-10 Mathematics 265 (0.13); subject=NCEA1 259 (0.13)
   1554    514   231     9167    8231  div.col-12  |  template=Standard 1204 (0.77); subject=Leaving to Learn 303 (0.19); subject=1-10 Mathematics 299 (0.19); subject=NCEA1 198 (0.13)
   1385    452   229    11627   10927  li  |  template=Standard 955 (0.69); subject=NCEA1 238 (0.17); subject=Leaving to Learn 238 (0.17); template=Fundamentals 210 (0.15)
   1199    556   261     3350    3315  a  |  template=Standard 862 (0.72); subject=Leaving to Learn 206 (0.17); subject=1-10 Mathematics 193 (0.16); template=Inquiry 184 (0.15)
   1168    355   191     2361    2682  h5  |  template=Standard 602 (0.52); template=Fundamentals 342 (0.29); subject=1-10 English 230 (0.20); template=Inquiry 203 (0.17)
   1119    549   203     1484    2013  iframe  |  template=Standard 823 (0.74); subject=1-10 Mathematics 267 (0.24); subject=NCEA1 226 (0.20); subject=1-10 English 179 (0.16)
   1011    363   182     1181    1567  tr  |  template=Standard 780 (0.77); subject=1-10 Mathematics 246 (0.24); subject=ConnectED 146 (0.14); subject=NCEA1 142 (0.14)
    891    360   178    10961    8945  h3  |  template=Standard 712 (0.80); subject=1-10 Mathematics 184 (0.21); subject=Leaving to Learn 159 (0.18); subject=NCEA1 151 (0.17)
    884    532   297     8146    6577  WIDGET  |  template=Standard 681 (0.77); subject=Leaving to Learn 156 (0.18); subject=1-10 English 134 (0.15); template=Fundamentals 127 (0.14)
    853    425   224     3673    3062  ┌ 3× repeated:  |  template=Standard 618 (0.72); subject=1-10 Mathematics 190 (0.22); subject=NCEA1 156 (0.18); template=Fundamentals 132 (0.15)
    853    406   210     1251    1637  i  |  template=Standard 722 (0.85); subject=1-10 English 167 (0.20); subject=NCEA1 154 (0.18); subject=1-10 Mathematics 147 (0.17)
    838    306   168     1468    1342  td  |  template=Standard 647 (0.77); subject=1-10 Mathematics 210 (0.25); subject=ConnectED 130 (0.16); subject=NCEA1 124 (0.15)
    817    347   188     4527    3059  img.img-fluid  |  template=Standard 532 (0.65); template=Fundamentals 219 (0.27); subject=1-10 Mathematics 157 (0.19); subject=NCEA1 143 (0.18)
    799    330   196     4833    4165  ul  |  template=Standard 552 (0.69); subject=1-10 English 132 (0.17); subject=Leaving to Learn 126 (0.16); subject=NCEA1 119 (0.15)
    721    422   196      205     838  table.table.table-bordered  |  template=Standard 574 (0.80); subject=1-10 Mathematics 174 (0.24); subject=ConnectED 128 (0.18); subject=NCEA1 104 (0.14)
    672    256   144      919    1157  ol  |  template=Standard 450 (0.67); subject=NCEA1 139 (0.21); template=Fundamentals 120 (0.18); subject=1-10 Mathematics 113 (0.17)
    636    299   137     1829    1432  div.button  |  template=Standard 460 (0.72); subject=Leaving to Learn 254 (0.40); template=Inquiry 118 (0.19); subject=1-10 Mathematics 97 (0.15)
    617    366   207     2133    1916  ┌ 4× repeated:  |  template=Standard 431 (0.70); subject=1-10 Mathematics 123 (0.20); subject=Leaving to Learn 77 (0.12); subject=1-10 English 75 (0.12)
    547    241   149     2632    1657  h4  |  template=Standard 399 (0.73); subject=Leaving to Learn 97 (0.18); subject=1-10 English 82 (0.15); template=Inquiry 73 (0.13)
    545    321    88      475     811  h4.goJournal  |  template=Standard 524 (0.96); subject=1-10 Mathematics 225 (0.41); subject=NCEA1 137 (0.25); subject=1-10 English 109 (0.20)
    529    265   115        6     533  div.activity  |  template=Standard 378 (0.71); subject=NCEA1 199 (0.38); template=Fundamentals 100 (0.19); subject=1-10 Mathematics 76 (0.14)
    524    323   168      631     839  div.table-responsive  |  template=Standard 416 (0.79); subject=1-10 Mathematics 118 (0.23); subject=ConnectED 87 (0.17); subject=NCEA1 80 (0.15)
    499    275   110      966    1080  div.ratio.ratio-16x9.videoSection  |  template=Standard 356 (0.71); subject=Leaving to Learn 137 (0.27); subject=1-10 Mathematics 134 (0.27); template=Inquiry 83 (0.17)
    441    269   160      403     648  th  |  template=Standard 342 (0.78); subject=1-10 Mathematics 128 (0.29); subject=1-10 English 77 (0.17); template=Fundamentals 56 (0.13)
