AGH1002	3.0	multiChoiceQuiz	h p p p e p p p		«[Interactive: Quiz]»	after«»	cell0«»	head«Nutrient Uptake»	owner«»	prev«T!»
AGH1005	2.0	dropDown	h h p p p p p p		«[interactive: Drop down menu]»	after«»	cell0«»	head«Here is a more detailed description of the main **internal**»	owner«»	prev«h»
AGH1006	2.0	dragAndDrop	h X		«[interactive: sentence drag and drop or drop-down »	after«»	cell0«»	head«Fill in the sentences to complete the summary statement abou»	owner«»	prev«p»
AGH1006	4.0	dragAndDrop	h p e p p X		«[interactive: See drag and drop activity below] *N»	after«»	cell0«»	head«Controlled Environments»	owner«»	prev«I»
AGH1006	5.0	dragAndDrop	h p p e h p p p		«[interactive: drag and drop] (Merged content: HTO1»	after«»	cell0«»	head«Pruning»	owner«»	prev«h»
AGH1008	5.0	interactive	h p h p h p p p		«[Interactive]»	after«Click on the heading to get th»	cell0«»	head«Increased chance of pregnancy»	owner«»	prev«p»
AGH1009	4.0	unclassified	h p p T		«[Activity: Embedded]»	after«»	cell0«»	head«Good or poor-quality water?»	owner«»	prev«p!»
AGH1009	6.0	dragAndDrop	X		«[interactive: drag and drop]»	after«Place these green manure and b»	cell0«»	head«»	owner«»	prev«p!»
ANZH103	1.0	unclassified	h p p p p p p h		«[Activity: embedded]»	after«Map of Aotearoa with drag and »	cell0«»	head«What happened in 1840?»	owner«»	prev«p»
ANZH104	6.0	dragAndDrop	X		«[Interactive: Drag and Drop]»	after«»	cell0«»	head«»	owner«»	prev«I»
ANZH105	1.0	accordion	X		«[Activity: Embedded – Accordion]»	after«»	cell0«»	head«»	owner«»	prev«T»
ANZH205	1.0	dragAndDrop	X		«[Activity: Embedded – Vertical Drag and Drop]»	after«»	cell0«»	head«»	owner«»	prev«h»
ANZH205	6.0	carousel	X		«[PDF slideshow and Audio player from TKI]»	after«Te Tiriti o Waitangi (Pages 10»	cell0«»	head«»	owner«»	prev«p»
ANZH303	1.0	multiChoiceQuiz	h p X		«[Go to quiz]»	after«»	cell0«»	head«The many meanings of mana»	owner«»	prev«p»
ANZH401	1.0	multiChoiceQuiz	X		«[Add button- Quiz]»	after«Go to quiz button»	cell0«»	head«»	owner«»	prev«X»
ANZH401	1.0	dragAndDrop	X		«[Answers for the Drag and Drop Activity] “Who is i»	after«»	cell0«»	head«»	owner«»	prev«X»
