pairs 2349; position-free ratio mean 72.549 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 271762 / claude 233363; EXTRA lines (claude over gold, per page) 54848; MISSING lines (gold over claude) 93247

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
   5775   1345   434    17683   20995  div.col-12.col-md-8  |  template=Standard 4050 (0.70); subject=NCEA1 1167 (0.20); template=Fundamentals 1022 (0.18); subject=1-10 Mathematics 766 (0.13)
   5039    959   368    32150   30632  div.row  |  template=Standard 3721 (0.74); subject=NCEA1 1170 (0.23); template=Fundamentals 814 (0.16); subject=1-10 Mathematics 708 (0.14)
   4623    756   316    31765   29519  p  |  template=Standard 3219 (0.70); subject=NCEA1 1228 (0.27); template=Fundamentals 917 (0.20); subject=1-10 Mathematics 660 (0.14)
   2547    769   330     4890    5732  b  |  template=Standard 1769 (0.69); subject=NCEA1 558 (0.22); template=Fundamentals 398 (0.16); subject=1-10 Mathematics 304 (0.12)
   2404    762   349    11483    9973  ┌ 2× repeated:  |  template=Standard 1686 (0.70); subject=NCEA1 523 (0.22); template=Fundamentals 335 (0.14); subject=1-10 Blended Literacy 269 (0.11)
   1750    597   269    10697    9226  div.col-12  |  template=Standard 1379 (0.79); subject=Leaving to Learn 305 (0.17); subject=1-10 Mathematics 299 (0.17); subject=NCEA1 275 (0.16)
   1691    546   276    13818   13053  li  |  template=Standard 1125 (0.67); subject=NCEA1 395 (0.23); template=Fundamentals 333 (0.20); subject=Leaving to Learn 238 (0.14)
   1524    690   321     3887    3997  a  |  template=Standard 1094 (0.72); subject=NCEA1 248 (0.16); template=Fundamentals 214 (0.14); subject=Leaving to Learn 210 (0.14)
   1309    410   218     2697    3029  h5  |  template=Standard 686 (0.52); template=Fundamentals 389 (0.30); subject=1-10 English 239 (0.18); template=Inquiry 213 (0.16)
   1196    460   217    12928   10617  h3  |  template=Standard 988 (0.83); subject=NCEA1 362 (0.30); subject=1-10 Mathematics 185 (0.15); subject=Leaving to Learn 162 (0.14)
   1174    423   223     1534    1843  tr  |  template=Standard 891 (0.76); subject=NCEA1 260 (0.22); subject=1-10 Mathematics 223 (0.19); template=Fundamentals 156 (0.13)
   1171    590   228     1761    2219  iframe  |  template=Standard 854 (0.73); subject=NCEA1 282 (0.24); subject=1-10 Mathematics 247 (0.21); template=Fundamentals 210 (0.18)
   1079    524   274     4386    3745  ┌ 3× repeated:  |  template=Standard 789 (0.73); subject=NCEA1 285 (0.26); subject=1-10 Mathematics 184 (0.17); template=Fundamentals 183 (0.17)
   1075    630   347     9784    7937  WIDGET  |  template=Standard 827 (0.77); subject=NCEA1 191 (0.18); template=Fundamentals 166 (0.15); subject=Leaving to Learn 159 (0.15)
   1053    450   237     1518    1974  i  |  template=Standard 882 (0.84); subject=NCEA1 280 (0.27); subject=1-10 English 186 (0.18); subject=1-10 Mathematics 147 (0.14)
    991    431   238     5214    3657  img.img-fluid  |  template=Standard 661 (0.67); template=Fundamentals 250 (0.25); subject=NCEA1 225 (0.23); subject=1-10 Mathematics 152 (0.15)
    973    350   195     2037    1588  td  |  template=Standard 777 (0.80); subject=NCEA1 263 (0.27); subject=1-10 Mathematics 181 (0.19); subject=ConnectED 130 (0.13)
    967    385   232     5703    4954  ul  |  template=Standard 646 (0.67); subject=NCEA1 217 (0.22); template=Fundamentals 188 (0.19); subject=1-10 English 152 (0.16)
    817    492   240      278     972  table.table.table-bordered  |  template=Standard 628 (0.77); subject=NCEA1 166 (0.20); subject=1-10 Mathematics 159 (0.19); subject=ConnectED 129 (0.16)
    810    308   172     1065    1356  ol  |  template=Standard 533 (0.66); subject=NCEA1 187 (0.23); template=Fundamentals 166 (0.20); subject=1-10 Mathematics 113 (0.14)
    799    457   258     2511    2337  ┌ 4× repeated:  |  template=Standard 544 (0.68); subject=NCEA1 162 (0.20); template=Fundamentals 122 (0.15); subject=1-10 Mathematics 117 (0.15)
    709    293   184     2992    1974  h4  |  template=Standard 485 (0.68); template=Fundamentals 108 (0.15); subject=NCEA1 105 (0.15); subject=Leaving to Learn 91 (0.13)
