AGH1004	1.0	dragAndDrop	h p T		«[Interactive Drag and drop matching activity]»	after«»	cell0«»	head«Knowledge Self-check»	owner«[Interactive: activity]#»
AGH1004	5.0	dragAndDrop	h T		«[Interactive: drag and drop]»	after«»	cell0«»	head«Knowledge Check Sorting Activity»	owner«(synthetic)#»
AGH1005	2.0	dragAndDrop	h p p p p h p p		«[interactive: drag and drop]»	after«»	cell0«»	head«Match the label to the correct part of the plant.»	owner«(synthetic)#»
AGH1006	4.0	radioQuiz	h p p p p p I X		«[interactive: true/false]»	after«»	cell0«»	head«Knowledge CheckTrue/False»	owner«(synthetic)#»
ARFUN02	0.0	unclassified	e h p h p p p h		«[Interactive elements Activity 3C] [Please see the»	after«»	cell0«»	head«How to Use Your Soundboard»	owner«[Interactive elements Activity#3C»
ARFUN04	0.0	multiChoiceQuiz	h p h p p p h X		«[create visual quiz with images and words]»	after«»	cell0«»	head«**Give it a try**»	owner«[Activity 3G] [H3]#3G»
ARFUN04	0.0	dragAndDrop	h p p p p p p p		«[create a drag and drop]»	after«»	cell0«»	head«**Types of Space and Techniques to Create Space**»	owner«[Activity 4G] [H3]#4G»
ARFUN04	0.0	radioQuiz	h p p p p p h p		«[Create true or false quiz]»	after«»	cell0«»	head«**Unity in art**»	owner«[Activity 4O] [H3]#4O»
ART1005	0.0	unclassified	I p e p h p e T		«[Activity 2D]»	after«Activity 2d»	cell0«»	head«**Activity 3 Exploring Skyscape**»	owner«[Activity 2D]#2D»
ART1005	0.0	carousel	X		«[Insert item 7 - Skyscape carousel 3]»	after«»	cell0«»	head«»	owner«[Activity 3A]#3A»
ART1005	0.0	unclassified	p h e p e T		«[Activity 1C]»	after«Activity 1c»	cell0«»	head«**Activity 2 Watch the video “Exploring New Zealand’s Artist»	owner«[Activity 1C]#1C»
BLL127	1.0	dragAndDrop	E		«[drag and drop]»	after«»	cell0«»	head«»	owner«[Activity 1E]#1E»
BLL133	1.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 1C] Making Words#1C»
BLL140	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 3D]#3D»
BLL140	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 4D]#4D»
BLL140	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 5D]#5D»
BLL140	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 6D]#6D»
BLL140	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 7D]#7D»
BLL147	1.1	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1C]#1C»
BLL151	2.0	dragAndDrop	X		«[Drag and drop]»	after«Can we keep the ‘ack’ stuck an»	cell0«»	head«»	owner«[Activity 2C]#2C»
BLL163	1.0	dropDown	E		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1E]#1E»
BLL164	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1C]#1C»
BLL165	1.1	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 2A]#2A»
BLL173	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1C]#1C»
BLL174	1.1	selfCheck	X		«[self check] Please insert images 1 - 8 from the b»	after«SPELD_SA_Set_7_A_wet_cat-DS.pd»	cell0«»	head«»	owner«[Activity 2E]#2E»
BLL175	1.0	dropDown	E		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1E]#1E»
BLL176	1.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 1D]#1D»
BLL213	2.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 2A]#2A»
BLL214	1.0	selfCheck	X		«[self check] The correct order is shown below. But»	after«»	cell0«»	head«»	owner«[Activity 1E]#1E»
BLL214	2.0	dropDown	X		«[upload to dropbox] Where ākonga can upload some o»	after«»	cell0«»	head«»	owner«[Activity 2A]#2A»
BLL217	1.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 1D]#1D»
BLL220	0.0	dragAndDrop	e X		«[drop and drag] Can we make something like this pl»	after«»	cell0«»	head«»	owner«[Activity 1C]#1C»
BLLR202	4.0	unclassified	p p p p p p p p		«[Activity 4D]»	after«Writing a summary»	cell0«»	head«»	owner«[Activity 4D]#4D»
CBI1005	5.0	dropDown	X		«[button to upload learning journal to dropbox]»	after«Upload Learning Journal»	cell0«»	head«»	owner«[Activity]#»
CBI1005	10.0	dropDown	E		«[can you set up an assessment dropbox for this top»	after«»	cell0«»	head«»	owner«[Activity]#»
CEDO105	1.0	unclassified	h p e h p I I T		«[ACTIVITY 1A]»	after«»	cell0«»	head«What can you move?»	owner«[ACTIVITY 1A]#1A»
CEDO202	0.0	unclassified	h h e p p p e p		«[Insert Right click Tab – Bringing the seasons to »	after«»	cell0«»	head«Bringing the seasons to life»	owner«[Activity 3B]#3B»
CEDR501	8.0	unclassified	e p p e h p T		«[Activity 7C]»	after«Rinse and repeat»	cell0«»	head«Preferences»	owner«[Activity 7C]#7C»
COM1006	5.0	dragAndDrop	h p p p p h p T		«[Create a drag and drop activity for the content g»	after«»	cell0«»	head«HOW TO EXPLAIN FLOW-ON EFFECTS?»	owner«[Activity 4A]#4A»
DTC1004	6.0	dropDown	X		«[Drop Box]»	after«DTC1004 Journal»	cell0«»	head«»	owner«[Activity]#»
ENFUN01	0.0	multiChoiceQuiz	h p e X		«[Multiple-Choice Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«Growing Audience Awareness»	owner«[Activity 3]#3»
ENFUN01	0.0	multiChoiceQuiz	I X		«[Multiple-Choice Quiz]»	after«**https://docs.google.com/docu»	cell0«»	head«»	owner«[Activity 3]#3A»
ENFUN02	0.0	multiChoiceQuiz	I X		«[Multi choice Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«»	owner«[Activity 4]#4A»
ENFUN03	0.0	multiChoiceQuiz	h p I X		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 2E]#2E»
ENFUN03	0.0	multiChoiceQuiz	h p I X		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 3E]#3E»
ENFUN03	0.0	multiChoiceQuiz	h p		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In summary»	owner«[Activity 4C]#4C»
ENFUN04	0.0	multiChoiceQuiz	h p I X		«[Multiple-Choice Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«In Summary …»	owner«[Activity 4]#4»
ENFUN05	0.0	unclassified	e p h T		«[Activity 1]»	after«»	cell0«»	head«With punctuation»	owner«[Activity 1]#1B»
ENFUN08	0.0	unclassified	e p I p p p p p		«[Activity 1]»	after«»	cell0«»	head«»	owner«[Activity 1]#1A»
ENGC202	8.0	dropDown	X		«[upload to dropbox]»	after«»	cell0«»	head«»	owner«[Activity 8B]#8B»
ENGC204	4.0	unclassified	e p p p e h p p		«[Activity 4A]»	after«»	cell0«»	head«Materials:»	owner«[Activity 4A]#4A»
ENGC301	2.0	unclassified	e p p I p p p p		«[Activity 2A]»	after«»	cell0«»	head«»	owner«[Activity 2A]#2A»
ENGC301	7.0	multiChoiceQuiz	X		«[Quiz]»	after«https://docs.google.com/docume»	cell0«»	head«»	owner«[Activity 7A]#7A»
ENGC401	2.0	unclassified	e p p p p p p p		«[Activity 2B]»	after«»	cell0«»	head«»	owner«[Activity 2B]#2B»
ENGC403	4.2	dropDown	E		«[insert dropbox]»	after«»	cell0«»	head«»	owner«[Insert activity 4.2.D]#4.2»
ENGI102	4.0	carousel	X		«[Insert PDF in carousel]»	after«https://instructionalseries.tk»	cell0«»	head«»	owner«[Activity 2A]#2A»
ENGI102	12.0	dropDown	X		«[Drop box button]»	after«»	cell0«»	head«»	owner«[Activity 6A]#6A»
ENGI202	2.0	unclassified	h p p p p p e h		«[Activity 2A]»	after«»	cell0«»	head«The Story of Rona»	owner«[Activity 2A]#2A»
ENGI301	3.0	dropDown	E		«[Upload to Dropbox]»	after«»	cell0«»	head«»	owner«[Activity]#»
ENGI303	3.0	modal	X		«[image like this as a modal]»	after«https://drive.google.com/file/»	cell0«»	head«»	owner«[activity 3D]#3D»
ENGI303	6.0	unclassified	e p p p e h T		«[Activity 6A]»	after«»	cell0«»	head«Past tense»	owner«[Activity 6A]#6A»
ENGI303	6.0	unclassified	e p p p p p p e		«[Activity 6c]»	after«»	cell0«»	head«»	owner«[Activity 6c]#6C»
ENGI401	2.0	reorder	h T		«[reorder interactive] currently in correct order»	after«»	cell0«»	head«Books»	owner«[Activity 2B]#2B»
ENGI405	6.0	unclassified	p p e h p p e T		«[Activity 6A]»	after«My text study»	cell0«»	head«Literary essay assessment»	owner«[Activity 6A]#6A»
