=== page 0.0 isOverview=true items 710
0	tag	lesson content	SECTION_MARKER	tag	«[Fundamental 1 code]»	after«MXFUN03»	consumed=false
1	tag	title bar	SECTION_MARKER	tag	«[Title]»	after«Measurement»	consumed=false
2	tag	lesson content	SECTION_MARKER	tag	«[Fundamental content]»	after«»	consumed=false
3	tag	page	PAGE_BOUNDARY	tag	«[Intro page]»	after«»	consumed=false
4	tag	body	ELEMENT	tag	«[Body]»	after«Measurement is a part of our everyday li»	consumed=false
5	black	«Click on the links below to explore the various skills within the Meas»	consumed=false
6	tag	?		instruction	«Could the below images and heading text underneath be spread»	after«»	consumed=false
7	table	1x4	«🔴[RED TEXT] [|🔴[RED TEXT] [|🔴[RED TEXT] [|🔴[RED TEXT] [»	consumed=true
8	tag	page	PAGE_BOUNDARY	tag	«[Page 1]»	after«»	consumed=false
9	tag	tab n	SUBTAG	tag	«[Side tab 1]»	after«»	consumed=false
10	tag	heading	ELEMENT	tag	«[Lesson 1 title H1]»	after«Measuring tools»	consumed=false
11	tag	h2	ELEMENT	tag	«[H2]»	after«Measuring length»	consumed=false
12	tag	body	ELEMENT	tag	«[Body]»	after«Length is how far it is from one end to »	consumed=false
13	tag	?		instruction	«Could these please be placed in a line.»	after«»	consumed=false
14	table	1x4	«[Image] / http|[Image] / http|[Image] / http|[Image] / http»	consumed=false
15	tag	body	ELEMENT	tag	«[body] We use words like:»	after«»	consumed=false
16	tag	activity	CONTAINER_OPEN	tag	«[Activity 1A]»	after«»	consumed=false
17	tag	h3	ELEMENT	tag	«[H3]»	after«Measure and compare the length of object»	consumed=false
18	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«Use the paperclips to measure the object»	consumed=true
19	tag	drag and drop	INTERACTIVE	tag	«[Drag and Drop] Could these please be recreated. For this ac»	after«»	consumed=true
20	tag	h4	ELEMENT	tag	«[H4]»	after«The pencil case is»	consumed=false
21	tag	?		noise	«longer»	after«than the stapler.»	consumed=false
22	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/vector/3d-co»	consumed=false
23	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/photo/forkli»	consumed=false
24	tag	h4	ELEMENT	tag	«[H4]»	after«The pencil is»	consumed=false
25	tag	?		noise	«shorter»	after«than the book.»	consumed=false
26	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/photo/blank-»	consumed=false
27	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/vector/penci»	consumed=false
28	tag	button	ELEMENT	tag	«[Button]»	after«Check answers»	consumed=false
29	tag	button	ELEMENT	tag	«[Button]»	after«Reset»	consumed=false
30	tag	end activity	CONTAINER_CLOSE	tag	«[End activity]»	after«»	consumed=false
31	tag	h2	ELEMENT	tag	«[H2] Using a ruler to measure»	after«»	consumed=false
32	tag	body	ELEMENT	tag	«[Body]»	after«When we want to measure accurately, we u»	consumed=false
33	black	«Watch this video to learn how to use a ruler to measure length in cm.»	consumed=false
34	tag	video	ELEMENT	tag	«[Video]»	after«https://www.youtube.com/watch?v=tuBLuIW1»	consumed=false
35	tag	activity	CONTAINER_OPEN	tag	«[Activity 1B]»	after«»	consumed=true
36	tag	h2	ELEMENT	tag	«[H2] Measuring in cm»	after«»	consumed=true
37	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«How many cm long is each arrow?»	consumed=true
38	tag	?		instruction	«[Type and Check] Could this please be created? Sorry I can g»	after«»	consumed=true
39	table	4x2	«🔴[RED TEXT] Q|🔴[RED TEXT] A // 🔴[RED TEXT] [|🔴[RED TEXT] 7 // 🔴[RED TEXT] C|🔴[RED TEXT] 3»	consumed=true
40	tag	button	ELEMENT	tag	«[button]»	after«Check answers»	consumed=true
41	tag	button	ELEMENT	tag	«[Button]»	after«Reset»	consumed=true
42	tag	end activity	CONTAINER_CLOSE	tag	«[End activity]»	after«»	consumed=false
43	tag	h2	ELEMENT	tag	«[H2]»	after«Measuring mass»	consumed=false
44	tag	body	ELEMENT	tag	«[Body]»	after«Mass is how heavy something is. We use w»	consumed=false
45	tag	h4	ELEMENT	tag	«[H4] could these words be in different colours if possible p»	after«heavy heavier heaviest light lighter lig»	consumed=false
46	tag	activity	CONTAINER_OPEN	tag	«[Activity 1C]»	after«»	consumed=false
47	tag	h3	ELEMENT	tag	«[H3]»	after«Heavy and light»	consumed=false
48	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«Sort these objects into the correct box.»	consumed=true
49	tag	drag and drop	INTERACTIVE	tag	«[Drag and drop] could this please be recreated. I have put t»	after«»	consumed=true
50	table	2x2	«🔴[RED TEXT] [|🔴[RED TEXT] [ // 🔴[RED TEXT] [|🔴[RED TEXT] [»	consumed=true
51	tag	button	ELEMENT	tag	«[Button]»	after«Check answers»	consumed=true
52	tag	button	ELEMENT	tag	«[button]»	after«Reset»	consumed=true
53	tag	end activity	CONTAINER_CLOSE	tag	«[End activity]»	after«»	consumed=false
54	tag	h2	ELEMENT	tag	«[H2]»	after«Measuring in grams»	consumed=false
55	tag	body	ELEMENT	tag	«[Body]»	after«We use scales to find out the mass, like»	consumed=false
56	tag	activity	CONTAINER_OPEN	tag	«[Activity 1D]»	after«»	consumed=false
57	tag	h3	ELEMENT	tag	«[H3]»	after«How many grams?»	consumed=false
58	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«Look carefully to where the arrow is poi»	consumed=false
59	tag	?		instruction	«[Type and check] Can this be recreated? It has been taken fr»	after«»	consumed=false
60	tag	?		instruction	«100 10 20»	after«»	consumed=false
61	black	«https://www.twinkl.co.nz/resource/t-n-5425-how-many-grams-activity-she»	consumed=false
62	tag	button	ELEMENT	tag	«[Button]»	after«Check answers»	consumed=false
63	tag	button	ELEMENT	tag	«[button]»	after«Reset»	consumed=false
64	tag	end activity	CONTAINER_CLOSE	tag	«[End activity]»	after«»	consumed=false
65	tag	h2	ELEMENT	tag	«[H2]»	after«Measuring capacity»	consumed=false
66	tag	body	ELEMENT	tag	«[Body]»	after«Capacity is how much something can hold,»	consumed=false
67	tag	h4	ELEMENT	tag	«[H4] could these words be in different colours if possible p»	after«full nearly full half full empty nearly »	consumed=false
68	tag	activity	CONTAINER_OPEN	tag	«[Activity 1E]»	after«»	consumed=false
69	tag	h3	ELEMENT	tag	«[H3] Monster drinks»	after«»	consumed=false
70	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«Give the monster the correct drink.»	consumed=true
71	tag	drag and drop	INTERACTIVE	tag	«[Drag and drop] Can this please be recreated. Correct answer»	after«»	consumed=true
72	table	6x2	«|🔴[RED TEXT] A // 🔴[RED TEXT] [|🔴[RED TEXT] [ // 🔴[RED TEXT] [|🔴[RED TEXT] [»	consumed=true
73	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/vector/empty»	consumed=true
74	tag	image	ELEMENT	tag	«[Image]»	after«https://www.istockphoto.com/vector/vecto»	consumed=true
75	tag	?		instruction	«(Monsters from this set)»	after«»	consumed=true
76	tag	button	ELEMENT	tag	«[Button]»	after«Check answers»	consumed=true
77	tag	button	ELEMENT	tag	«[Button]»	after«Reset»	consumed=true
78	tag	end activity	CONTAINER_CLOSE	tag	«[End activity]»	after«»	consumed=false
79	tag	h2	ELEMENT	tag	«[H2]»	after«Measuring in millilitres»	consumed=false
80	tag	body	ELEMENT	tag	«[Body]»	after«When we find out how much a container ca»	consumed=false
81	tag	activity	CONTAINER_OPEN	tag	«[Activity 1F]»	after«»	consumed=false
82	tag	h3	ELEMENT	tag	«[H3]»	after«How many millilitres?»	consumed=false
83	tag	activity	CONTAINER_OPEN	tag	«[Activity body]»	after«How many millilitres of water are in eac»	consumed=false
84	tag	?		instruction	«Type the correct answer in the box below each container.»	after«»	consumed=false
85	tag	image	ELEMENT	tag	«[Type and check[ Can these images be recreated please? I hav»	after«»	consumed=false
86	tag	?		noise	«300»	after«ml»	consumed=false
87	tag	?		noise	«500»	after«ml»	consumed=false
88	tag	?		noise	«800»	after«ml»	consumed=false
89	tag	?		noise	«100»	after«ml»	consumed=false
90	tag	button	ELEMENT	tag	«[Button]»	after«Check answers»	consumed=false
91	tag	button	ELEMENT	tag	«[Button]»	after«Reset»	consumed=false
