== dropDown(dropdown opener): built 341, un-built 161 / 93 modules
     50 /  29 mod  ('lines', '(no answer)')
     18 /  17 mod  ('table', '(no answer)')
     16 /  15 mod  ('table', '(unannounced highlight only)')
     13 /   9 mod  ('lines', '(unannounced highlight only)')
     10 /   6 mod  ('lines', 'bracket')
      9 /   6 mod  ('merged', 'red')
      9 /   9 mod  ('merged', '(no answer)')
      7 /   5 mod  ('merged', 'bracket')
      5 /   5 mod  ('lines', 'red')
      4 /   2 mod  ('lines', 'key+red')
      3 /   3 mod  ('lines', 'bracket+red')
      2 /   2 mod  ('table', 'key')
   largest explicit / announced shape: 10 ('lines', 'bracket')  -> below the 20-site floor
== reorder: built 0, un-built 104 / 65 modules
     52 /  38 mod  ('table', '(no answer)')
     24 /  14 mod  ('lines', '(no answer)')
      9 /   8 mod  ('table', 'bracket')
      5 /   4 mod  ('table', '(unannounced highlight only)')
      4 /   2 mod  ('lines', '(unannounced highlight only)')
      4 /   2 mod  ('lines', 'bracket')
      3 /   3 mod  ('merged', '(no answer)')
      1 /   1 mod  ('merged', 'bracket')
      1 /   1 mod  ('merged', 'red')
      1 /   1 mod  ('lines', 'bracket+key')
   largest explicit / announced shape: 9 ('table', 'bracket')  -> below the 20-site floor
== radioQuiz: built 0, un-built 89 / 60 modules
     33 /  22 mod  ('table', '(no answer)')
     12 /  12 mod  ('lines', '(no answer)')
     12 /   8 mod  ('table', '(unannounced highlight only)')
      7 /   6 mod  ('table', 'bracket')
      7 /   7 mod  ('lines', 'red')
      6 /   5 mod  ('lines', 'bracket')
      3 /   1 mod  ('lines', 'key')
      2 /   2 mod  ('merged', 'bracket')
      2 /   2 mod  ('lines', '(unannounced highlight only)')
      2 /   2 mod  ('merged', '(unannounced highlight only)')
      2 /   1 mod  ('lines', 'hl-other')
      1 /   1 mod  ('lines', 'bracket+red')
   largest explicit / announced shape: 7 ('table', 'bracket')  -> below the 20-site floor
== selectionBox: built 0, un-built 80 / 39 modules
     33 /  18 mod  ('lines', '(no answer)')
     11 /  10 mod  ('table', '(no answer)')
      9 /   4 mod  ('lines', 'red')
      7 /   2 mod  ('table', 'bracket')
      5 /   1 mod  ('merged', '(unannounced highlight only)')
      5 /   4 mod  ('merged', '(no answer)')
      4 /   3 mod  ('table', '(unannounced highlight only)')
      3 /   2 mod  ('merged', 'bracket')
      1 /   1 mod  ('lines', '(unannounced highlight only)')
      1 /   1 mod  ('table', 'bracket+key')
      1 /   1 mod  ('table', 'red')
   largest explicit / announced shape: 9 ('lines', 'red')  -> below the 20-site floor
