per_page type list n 2487
sample {'module': 'MXFUN01', 'page': 'MXFUN01_0_0.html', 'scaffold': 0.05506883604505632, 'raw': 0.02766295707472178}
total loss pp-sum 111254.8 pages 2487
family     pages mods   mean     loss  share
BLL2         148   54   60.8   5797.9   5.2%
BLL1         150   55   63.5   5470.0   4.9%
HIS1          77    8   49.8   3865.3   3.5%
TRR1          64   12   42.4   3687.0   3.3%
PES1          76    7   56.4   3313.0   3.0%
XDLS9         67   10   54.2   3070.8   2.8%
AGH1          74    9   60.3   2937.0   2.6%
XGF9          41    5   44.3   2283.7   2.1%
MXFL2         38    4   42.5   2183.4   2.0%
PHE1          50    8   60.1   1996.5   1.8%
HES1          48    6   58.5   1993.4   1.8%
PWY1          45    5   57.6   1909.5   1.7%
MXFL1         33    4   47.1   1746.5   1.6%
ANZH3         36    4   53.3   1682.6   1.5%
XLP0          29    6   51.9   1394.0   1.3%
FRFUN0        28    3   52.4   1332.0   1.2%
CBI1          31    4   58.5   1287.0   1.2%
MXFU3         23    2   46.1   1239.4   1.1%
MXDI1         24    3   48.5   1236.4   1.1%
ANZH4         20    2   38.6   1227.7   1.1%
CEDO5         25    2   52.2   1194.6   1.1%
MXDI2         23    2   51.5   1116.2   1.0%
ENGC2         29    4   61.8   1106.8   1.0%
MXFU2         20    2   44.8   1103.5   1.0%
COM1          25    3   56.8   1078.9   1.0%
DAN1          28    3   62.2   1058.2   1.0%
XMES1         21    3   50.5   1040.5   0.9%
ENGI2         23    3   55.4   1026.1   0.9%
ANZH1         23    4   56.2   1008.2   0.9%
MXDB3         17    2   41.9    987.9   0.9%
SSOG1         20    3   52.4    951.8   0.9%
MXEX3         17    2   44.3    947.0   0.9%
TEDC4         16    2   41.9    929.9   0.8%
ENGI1         18    3   48.5    926.3   0.8%
ENGI4         23    3   61.0    897.6   0.8%
DTC1          18    2   51.2    878.0   0.8%
ENGI3         20    3   57.3    853.5   0.8%
XTAS1         18    3   54.1    827.1   0.7%
ENGS4         20    3   59.0    820.2   0.7%
GEO1          16    3   49.0    815.4   0.7%
MXFL3         20    2   60.0    800.2   0.7%
ENGJ3         17    2   54.0    781.4   0.7%
MXFU4         15    2   49.1    764.0   0.7%
FRNO9         18    2   57.7    762.2   0.7%
ENGC4         22    2   66.1    746.8   0.7%
