fate | Claude container | gold | links | pages | modules | examples
KEPT      | -               | gold no <a> |  2819 |    0 | 293 | AGH1001: «**Maramataka explained - RNZ s» teara.govt.nz/en/speech/5389/when-to-pla ;; AGH1001: «Farm manager» rnz.co.nz/national/programmes/countrylif ;; AGH1001: «farm worker» ruralnewsgroup.co.nz/rural-news/rural-ge
TEXT LOST | -               | gold no <a> |   773 |    0 | 356 | AGH1001: «Early copyright review.docx» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1002: «Early copyright review.docx» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1003: «Early copyright review.docx» mytekuraschool.
KEPT      | -               | gold <a>    |   740 |    0 | 117 | AGH1001: «Kiwi Kai interactive game» kiwikai.nz ;; AGH1004: «Taewa - Māori potato» sciencelearn.org.nz/videos/385-taewa-are ;; AGH1006: «crop rotation cycle» homesteadandchill.com/crop-rotation-bene
HREF LOST | table           | gold no <a> |   388 |   63 |  54 | AGH1006: «clovers» images.app.goo.gl/bbr8pq4pbmkdoaaca ;; AGH1006: «Beet» images.app.goo.gl/rufgd9s7ghpngqgh6 ;; BLL115: «[audio]» drive.google.com/drive/u/0/folders/1lbrv
HREF LOST | ?               | gold no <a> |   238 |   83 |  73 | AGH1006: «*https://homesteadandchill.com» apc01.safelinks.protection.outlook.com/? ;; AGH1006: «*https://homesteadandchill.com» apc01.safelinks.protection.outlook.com/? ;; AGH1009: «| Stuff.co.nz» stuff.co.nz/business/fa
HREF LOST | body            | gold no <a> |   190 |   92 |  77 | AGH1006: «https://tekura.desire2learn.co» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «https://tekura.desire2learn.co» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «https://tekura.desire2learn.co» tekura
HREF LOST | cv2-interactive | gold no <a> |   173 |   92 |  68 | AGH1006: «Apple Growing Calendar of Oper» mytekuraschool.sharepoint.com/:w:/s/tear ;; AGH1006: «dropdown» tekura.desire2learn.com/d2l/le/content/1 ;; ANZH105: «Flip Cards» docs.google.com/presentation/d/1vx-7k69f
HREF LOST | accordion       | gold no <a> |    75 |   23 |  22 | AGH1004: «silt soil» stock.adobe.com/nz/search/images?filters ;; AGH1006: «viewContent» tekura.desire2learn.com/d2l/le/content/1 ;; AGH1006: «/View» tekura.desire2learn.com/d2l/le/content/1
HREF LOST | activity        | gold no <a> |    70 |   50 |  41 | ANZH104: «Track in Google Earth» earth.google.com/web/data=mickjqojciexeg ;; ARFUN02: «Link of example» claude.site/artifacts/5cb1c0f1-995c-48ff ;; BLL126: «audio» drive.google.com/drive/u/0/folders/1oc30
HREF LOST | table           | gold <a>    |    54 |   14 |  13 | BLL254: «[science]» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «[scissors]» drive.google.com/file/d/1ruoql7fz1snuhrq ;; BLL254: «[thumbprint]» drive.google.com/file/d/1ruoql7fz1snuhrq
HREF LOST | activity        | gold <a>    |    30 |    9 |   4 | ENO2060: «ENO2060 lesson 1.C Coming up w» mytekuraschool.sharepoint.com/:w:/s/tear ;; HES1007: «Commodifying childhood: NZ chi» rnz.co.nz/news/on-the-inside/570655/comm ;; HES1007: «Behind the hype: energy drinks» health
