tag | runs | lost shingles | modules | red-line share | families | examples
body                           |  1460 |   6718 |  339 | 0.02 | {'BLL': 693, 'WJFUN': 460, 'XGF': 316, 'PNR': 287, 'ENGJ': 254} | AGH1002: and science in new zealand soils as a finite resource soils ;; AGH1002: also decreases the nutrient status types of nutrients there are two ;; AGH1003: these ideas to the brainstorm what are soil management practices watch
hN                             |   701 |   3925 |  262 | 0.05 | {'BLL': 409, 'HIS': 375, 'ART': 331, 'TWHK': 262, 'WJFUN': 227} | AGH1001: advisor ash phillips wairoa new zealand mussel farmer jake bartram hauraki gulf new ;; AGH1001: true false 1 kaitiakitanga is about guardianship over the ;; AGH1001: about guardianship over the land 2 te wehenga is about embracing the
(no tag within N lines)        |   599 |   3491 |  180 | 0.03 | {'WJFUN': 582, 'ENGJ': 361, 'COM': 255, 'XOTPB': 238, 'BLL': 215} | AGH1002: produce results and draw conclusions describe plant growing processes and how ;; AGH1002: your learning journal and complete activity 2b soil ;; AGH1002: your learning journal and complete activity 2c depending
button                         |   410 |   1551 |  132 | 0.03 | {'BLL': 636, 'MXFL': 115, 'MXDB': 73, 'HIS': 71, 'MXEO': 59} | AGH1001: mahuta trees and birds tangaroa oceans and creatures in it ;; ANZH101: white hair represents go to journal paikea https ;; ANZH101: the one below go to journal visit a library with your
lesson overview                |   185 |   1264 |   53 | 0.01 | {'MXDI': 429, 'HIS': 211, 'AGH': 190, 'MXFL': 70, 'ENGC': 67} | AGH1002: is and how it forms explain the importance of soil to ;; AGH1002: and how they are classified carry out experiments to produce results ;; AGH1002: are impacted by soil type carry out experiments to produce results
image                          |   166 |   1100 |   44 | 0.01 | {'BLL': 210, 'OSSM': 160, 'OSSC': 138, 'MXFL': 106, 'TEDC': 76} | ANZH205: screenshot of the voyages of te tiriti o ;; ANZH205: te tiriti o waitangi youtube cs please remove date table ;; BLL130: k im has 8 pa ck s the pa ck s can sta ck k im
body text                      |   141 |    864 |   70 | 0.01 | {'MXFL': 111, 'OSOH': 66, 'GENO': 65, 'HES': 65, 'ART': 51} | AGH1001: zealand you can work towards agricultural and horticultural science standards in other modules including agh10 ;; AGH1003: in the mind map below most farmers and growers will choose ;; AGH1004: production you can work towards agricultural and horticul
item N                         |    54 |    534 |    7 | 0.00 | {'PNR': 395, 'PMT': 59, 'ARFUN': 37, 'TRR': 37, 'MXS': 6} | ARFUN02: whisper dynamics are the levels of loudness ;; ARFUN02: imperial march from star wars very loud and powerful fortissimo movement suggestion march like a star ;; ARFUN02: movements when the music is loud play
page overview                  |    71 |    395 |    1 | 0.00 | {'CHFUN': 395} | CHFUN05: negation we are learning to understand that ;; CHFUN05: are learning to understand that b is placed ;; CHFUN05: are learning to understand that h is used to
overview                       |    14 |    362 |    3 | 0.06 | {'MXFL': 357, 'MXDI': 5} | MXDI202: on their attributes and nets a 3d shape or three dimensional ;; MXFL203: calendars and carnivals throughout this lesson you will learn about ;; MXFL203: lesson you will learn about calendars you will learn what a calendar is and where they
add button                     |    58 |    320 |   11 | 0.21 | {'HIS': 255, 'ANZH': 63, 'EXBP': 2} | ANZH203: with an explanation go to journal cultural exchanges painted hoe read ;; ANZH303: journal upload to dropbox roles and mana the rangatira chief ;; ANZH303: to see upload to dropbox you can interpret visual sources maps
