units the gold carries 87905; lost by Claude 664 (0.008)
tag | lost units | modules | families | examples
(no tag within 10 lines)       |   116 |   26 | {'WJFUN': 48, 'ENGJ': 17, 'XOTPB': 16, 'HIS': 10, 'COM': 7} | ARFUN02 L393: hedwigs theme from harry potter ;; ARFUN02 L397: circle of life from the lion king ;; BLL270 L266: a 1 point ā 6 points ;; BLL270 L268: e 2 points ē 7 points
hN                             |    86 |   45 | {'TWHK': 17, 'ENGJ': 7, 'HIS': 7, 'WJFUN': 7, 'ART': 6} | AGH1009 L866: name two ways small scale farmers with limited resources are overcoming challenges in using ;; ART1004 L100: apply personal context knowing who you are and where you belong ;; ART1004 L108: research and interpret edit and record found information in both planning visual and textural ;;
body                           |    56 |   34 | {'WJFUN': 10, 'SSCI': 9, 'ENGJ': 7, 'BLL': 3, 'ENGC': 3} | AGH1004 L280: new zealand has one of the most unique and beautiful topographies on planet earth ;; ANZH103 L227: january february march april may june july august september october november december ;; ANZH301 L1061: individual tribal authorities have worked to advocate the rights of urban māori and
image                          |    49 |   13 | {'BLL': 16, 'OSSC': 15, 'PES': 4, 'SSOG': 4, 'XGF': 3} | BLL255 L179: caught grabbed or trapped something ;; BLL255 L179: alex caught the ball with both hands court a place where games are played ;; BLL255 L179: we played basketball on the court ;; BLL255 L180: through in one side and out the other
video N                        |    30 |    5 | {'BLL': 23, 'XGF': 6, 'MXFU': 1} | BLL120 L149: phonics for kids the c sound phonics in english ;; BLL120 L619: ck digraph sound ck song and practice abc phonics song with sounds for children ;; BLL120 L621: the ck sound phonics video scratch garden ;; BLL120 L625: meet the phonics digraphs ck
insert video                   |    18 |    9 | {'GEO': 5, 'BLL': 4, 'XLP': 4, 'SSFUN': 3, 'WJFUN': 1} | BLL124 L178: watch this video to help you understand this concept ;; BLL147 L283: watch the following video to help you with understanding alliteration ;; BLL153 L77: watch this video to help you understand the concept of word families ;; BLL153 L249: watch the video to help you understand this conc
body text                      |    17 |    7 | {'MXFL': 7, 'ART': 3, 'MXFU': 2, 'TWHK': 2, 'DAN': 1} | ART1004 L132: allow 24 hours for the learning in this module ;; ART1004 L134: it may take more or less time depending on what you know and can ;; ART1004 L156: you will work towards the following standard 91913 ;; DAN1006 L93: unit standard 91937 version 3
tab                            |    15 |    3 | {'WJFUN': 13, 'FRFUN': 1, 'FRNO': 1} | FRFUN06 L1842: click on the phrase to hear the audio ;; FRNO902 L367: here is this is it is i have a ;; WJFUN307 L14: identify words that have similar meanings but create different effects ;; WJFUN307 L14: select the most suitable synonym for a particular audience and purpose
lesson overview                |    14 |    6 | {'MXDI': 6, 'ENGR': 3, 'HIS': 2, 'ART': 1, 'CEDW': 1} | ART1004 L194: in these activities you will produce artworks based on your turangawaewae and your pēpeha ;; CEDW501 L694: connections across time what is whakapapa ;; ENGR301 L269: we are learning about to ;; ENGR301 L702: we are learning about to
correct answer                 |    13 |    1 | {'WJFUN': 13} | WJFUN206 L341: b the waka moved quickly across the water as the tide pulled it away ;; WJFUN206 L342: c the waka moved because the tide changed ;; WJFUN206 L346: which sentence best explains why something happened ;; WJFUN206 L352: question 4 focus on the reason
video                          |    12 |    7 | {'BLL': 7, 'ENFUN': 1, 'FRFUN': 1, 'MXFL': 1, 'OSSC': 1} | BLL120 L268: learn letter c with alphablocks magic words cbeebies ;; BLL120 L1050: learn letter e with alphablocks magic words cbeebies ;; BLL120 L1258: learn letter h with alphablocks magic words cbeebies ;; BLL120 L1475: learn letter r with alphablocks magic words cbeebies
