form | Claude | gold | notes | modules
LABEL + content on one line (unbracketed)    | red note       | SUPERVISOR BOX |    7 |   2  e.g. BLL110: if your ākonga is having difficulty remembering both the name of the ;; BLL110: if your ākonga is having difficulty remembering both the name of the ;; BLL110: if your ākonga is having difficulty remembering both
LABEL + content on one line (unbracketed)    | SUPERVISOR BOX | SUPERVISOR BOX |    6 |   3  e.g. BLL110: some students need more practice than others when learning the letters and ;; BLL110: some students need more practice than others when learning the letters and ;; BLL110: some students need more practice than ot
LABEL + content on one line (unbracketed)    | SUPERVISOR BOX | ABSENT         |    6 |   1  e.g. BLL120: some students need more practice than others when learning new letters and ;; BLL120: some students need more practice than others when learning the letters and ;; BLL120: some students need more practice than ot
LABEL + content on one line (unbracketed)    | elsewhere      | SUPERVISOR BOX |    6 |   3  e.g. BLL120: in the last lesson we introduced the letter c to the ākonga ;; BLL120: after watching video four highlight to the ākonga c k curly c ;; BLL120: so far ākonga have learned that both c and k produce the
LABEL line alone (red 'Supervisor note:')    | ABSENT         | SUPERVISOR BOX |    4 |   2  e.g. BLL110: sometimes s makes a z sound this happens when your voice is ;; BLL130: sometimes g makes a j sound as in giraffe in this module ;; BLL130: for now we are focussing on the short vowel o sound we
bracketed [Supervisor note]                  | SUPERVISOR BOX | SUPERVISOR BOX |  193 | 112  e.g. ANZH105: stories are organised by difficulty use the available audio clips to support ;; ANZH105: stories are organised by difficulty use the available audio clips to support ;; ANZH105: stories are organised by difficul
bracketed [Supervisor note]                  | SUPERVISOR BOX | ABSENT         |   18 |  16  e.g. ANZH105: stories are organised by level use the available audio clips to support ;; BLL113: this activity is important to help your child hear the sounds in ;; BLL114: learning about syllables will help the ākonga break 
bracketed [Supervisor note]                  | SUPERVISOR BOX | elsewhere      |    1 |   1  e.g. ENGJ101: in māori mythology taniwha are large supernatural beings that live in deep
bracketed [Supervisor note]                  | ABSENT         | SUPERVISOR BOX |    1 |   1  e.g. XDLS908: xlp06 ebb and flow can assist you to develop your ability to
split bracket [ + Supervisor note]           | SUPERVISOR BOX | SUPERVISOR BOX |   28 |   6  e.g. BLL110: some students need more practice than others when learning the letters and ;; BLL110: some students need more practice than others when learning the letters and ;; BLL130: some ākonga need more practice than othe
split bracket [ + Supervisor note]           | SUPERVISOR BOX | ABSENT         |   15 |   3  e.g. BLL160: some students need more practice than others when learning the letters and ;; BLL160: some students need more practice than others when learning the letters and ;; BLL160: some students need more practice than ot

by form: {'bracketed [Supervisor note]': 213, 'split bracket [ + Supervisor note]': 43, "LABEL line alone (red 'Supervisor note:')": 4, 'LABEL + content on one line (unbracketed)': 25}
