
=== 11485 captured bundles / 4036 built ===

  CAPTURED    BUILT  DECLINED  MODULES  TYPE
      1605        0      1605      314  unclassified
      1324      136      1188      354  dragAndDrop
       875      286       589      183  clickDrop
       517       12       505      188  multiChoiceQuiz
      1282      872       410      370  carousel
       738      341       397      219  dropDown
      1036      641       395      231  accordion
       673      341       332      246  flipCard
       326        8       318       85  typing
       511      266       245      110  modal
       207        0       207       30  interactive
       215       26       189       72  selfCheck
       213       72       141       87  tabs
       125        0       125       65  reorder
      1029      913       116      145  speechBubble
       115        0       115       39  selectionBox
       106        0       106       60  radioQuiz
        72        0        72       33  slider
       128       71        57       20  hint
        56        0        56       26  infoTrigger
        55        0        55       40  memoryGame
        38        2        36       18  shapeHover
        33        0        33       19  sketcher
        31        0        31        9  wordDrag
        31        0        31       22  wordFind
        26        0        26       21  crossword
        69       48        21       38  hintSlider
        19        0        19       14  timeline
        16        0        16       10  clickingOrder
        10        0        10        8  wordSelect
         3        1         2        3  glossary
         1        0         1        1  puzzle

records -> /mnt/c/Users/Gavin/TeKura/FINAL_MODULE_DATA/CONVERTER_V2/outputs/_r286_declines.json 11485
