AGH1001	#7	interactive+interactive	act -	other -	built 0	[Interactive] [button] description [Body] [Interactive] Mix and Match
AGH1006	#22	flipCard+flipCard	act -	other -	built 0	[interactive: Flip card] [interactive: flip card]
AGH1006	#24	flipCard+flipCard	act -	other -	built 0	[interactive: flip cards] [H3] Pests [interactive: flip cards]
AGH1009	#20	accordion+infoTrigger,infoTrigger,accordion	act 3	other -	built 1	[interactive: accordion] [hover definition: Fermentation that takes place in the digestive systems o
ANZH105	#3	dragAndDrop+dragAndDrop	act -	other -	built 0	[Interactive: Drag and Drop-Multicategory] [Body] [Drag and drop] using images and text – please see
ANZH203	#5	flipCard+flipCard,flipCard,flipCard	act -	other -	built 0	[Image on flip card] [Body on flip card] [Image on flip card] [Body on flip card]
ANZH205	#2	unclassified+infoTrigger,infoTrigger,infoTrigger,infoTrigger,infoTrigger,infoTrigger,infoTrigger	act 1A	other -	built 0	[Body] [Image and Audio player from TKI] [Hover Trigger: Captain James Cook.] [Image] [Body] [Image 
ANZH205	#3	speechBubble+speechBubble,speechBubble,speechBubble,speechBubble	act -	other -	built 0	[Body/ Speech bubble] [Label] [Video] [Body/ Speech bubble] [Label] [Video] [Body/ Speech bubble] [L
ANZH205	#20	accordion+accordion,accordion	act -	other -	built 1	[Accordian 1] [Image to link: Left] [Image] [Link] [Label: Left] [Image to link: Centre] Image: Link
ANZH301	#4	interactive+interactive	act 1B	other -	built 0	[Interactive] Please create a Venn diagram with a green circle for opportunities labelled as shown, 
ANZH301	#6	interactive+interactive,interactive,interactive	act -	other -	built 0	[Interactive] Please present as source buttons across the page with click-drop function. Source 1: [
ANZH301	#10	interactive+interactive	act 3B	other -	built 0	[Interactive] Please embed page 40 from the journal here: [Interactive] Please embed this slide from
ANZH301	#16	interactive+infoTrigger,infoTrigger	act 6A	other -	built 0	[Interactive] Please embed this map image into this activity box. [Image link] [roll-over definition
ANZH301	#25	interactive+interactive	act -	other -	built 0	[Interactive] Text and photo images from pages 36, 37 and 38 only from this journal article] [Source
ANZH302	#4	interactive+interactive	act 1B	other -	built 0	[Interactive] Please create a Venn diagram with a green circle for opportunities labelled as shown, 
ANZH302	#6	interactive+interactive,interactive,interactive	act -	other -	built 0	[Interactive] Please present as source buttons across the page with click-drop function. Source 1: [
ANZH302	#10	interactive+interactive	act 3B	other -	built 0	[Interactive] Please embed page 40 from the journal here: [Interactive] Please embed this slide from
ANZH302	#16	interactive+infoTrigger,infoTrigger	act 6A	other -	built 0	[Interactive] Please embed this map image into this activity box. [Image link] [roll-over definition
ANZH302	#25	interactive+interactive	act -	other -	built 0	[Interactive] Text and photo images from pages 36, 37 and 38 only from this journal article] [Source
ANZH303	#4	dragAndDrop+radioQuiz	act 3A	other -	built 0	[Interactive] Drag and drop activity- correct answers are shown below. Please mix up for this activi
ANZH401	#4	interactive+interactive	act -	other -	built 0	[Interactive] Please put the image source mentioned in this body text to the right of the body text 
ANZH404	#1	clickDrop+clickDrop,clickDrop,clickDrop,clickDrop	act -	other -	built 0	[Click drop one for timeline] [Image] [Click drop two for timeline] [Image with caption: and text [C
ANZH404	#2	tabs+tabs	act 2B	other -	built 0	[2 tabs- one for image and one for text please] [Image] [Text] [2 tabs- one for image and one for te
ANZH404	#4	clickDrop+clickDrop,clickDrop	act -	other -	built 1	[Primary source: click drop] [Secondary source: click drop] Insert page 9 of this text only: [H3] Th
ARFUN01	#3	clickDrop+clickDrop,clickDrop,clickDrop	act -	other -	built 0	[Insert a click drop with the following images and the text that drops down] [Insert image one for c
ARFUN01	#5	flipCard+flipCard,flipCard,flipCard	act -	other -	built 0	[Insert flip cards with the following images and text] [Insert image one for flip card] [Text for im
ARFUN01	#7	clickDrop+clickDrop	act -	other -	built 0	[Insert click drop] [Insert image one for click drop]
ARFUN01	#9	clickDrop+clickDrop,clickDrop	act -	other -	built 0	[Insert Youtube video for click drop two] [Text for click drop two] [Insert image three for click dr
ARFUN03	#1	flipCard+flipCard,flipCard,flipCard,flipCard	act -	other -	built 0	[Insert images with flip card text] [Flip card text for above image] [Flip card text for above image
ARFUN03	#6	dragAndDrop+dragAndDrop,dragAndDrop,dragAndDrop,dragAndDrop	act -	other -	built 0	[Insert drag and drop – sentences to match the pictures] [drag and drop text – correct answer for be
ARFUN04	#2	clickDrop+clickDrop	act -	other -	built 0	[click and drop] [H3] [insert item #3: video] Start at: 1.05 finish at: 2.27 [H3] [H2] [click and dr
ARFUN04	#7	carousel+dragAndDrop,clickDrop	act 1E	other -	built 0	[insert items # 15: carousel] [create drag and drop activity that matches the feelings with the desc
ARFUN04	#9	dragAndDrop+dragAndDrop	act -	other 1H	built 0	[create shapes for drop and drag to rectangle canvas or can we use these ones from Art History? ] [i
ARFUN04	#12	clickDrop+clickDrop,clickDrop,clickDrop	act -	other -	built 0	[click and drop] [H3] [insert item#27: video] [Start; 1.00 approx Finish; 1.36] [insert items # 28, 
ARFUN04	#17	clickDrop+clickDrop	act 2D	other -	built 0	[create click and drop] [H3] [insert item #43: video] [H3] [H3] [H2] [create click and drop] [H3]
