# class	code	page	at	shifted	gold	claude
MISSING1	AGH1001	AGH1001_2_0.html	2	0	2A 2B 2C	2A 2B
MISSING1	AGH1001	AGH1001_3_0.html	2	0	3A 3B 3C	3A 3B
MISSING1	AGH1001	AGH1001_4_0.html	5	0	4A 4B 4C 4D 4E 4F	4A 4B 4C 4D 4E
OTHER	AGH1002	AGH1002_6_0.html	-1	0	6A 6B 6C 6D 6E	
OTHER	AGH1003	AGH1003_2_0.html	-1	0	2A 2B 2C 2D	2A 2B 2X
OTHER	AGH1003	AGH1003_3_0.html	-1	0	3A 3B 3C	3A 3X
OTHER	AGH1003	AGH1003_4_0.html	-1	0	4A 4B 4C 4D	4A 4X 4C
SHIFTED	AGH1003	AGH1003_5_0.html	0	0	5A	5X
OTHER	AGH1003	AGH1003_6_0.html	-1	0	6A 6B 6C	5X
OTHER	AGH1003	AGH1003_7_0.html	-1	0	7A 7B	7X
OTHER	AGH1003	AGH1003_8_0.html	-1	0	8A 8B 8C 8D	8A 8B
OTHER	AGH1004	AGH1004_1_0.html	-1	0	2A 2B 2C	1A
OTHER	AGH1004	AGH1004_2_0.html	-1	0	6A 6B 6C 6D 6D	2A 2B
OTHER	AGH1004	AGH1004_3_0.html	-1	0	3A 3B 3C 3D 3E	3A 3B
OTHER	AGH1004	AGH1004_4_0.html	-1	0	4A 4B 4C 4D	4A
MISSING1	AGH1004	AGH1004_5_0.html	2	0	5A 5B 5C	5A 5B
OTHER	AGH1004	AGH1004_6_0.html	-1	0	7A 7B 7C	6A 6B
MISSING1	AGH1005	AGH1005_1_0.html	1	0	1A 1B	1A
MISSING1	AGH1005	AGH1005_2_0.html	2	0	2A 2B 2C	2A 2B
MISSING1	AGH1005	AGH1005_3_0.html	1	0	3A 3B	3A
OTHER	AGH1005	AGH1005_4_0.html	-1	0	5A 5B 5C	4A
OTHER	AGH1005	AGH1005_5_0.html	-1	0	4A	5A 5B
MISSING1	AGH1005	AGH1005_6_0.html	2	0	6A 6B 6C	6A 6B
OTHER	AGH1005	AGH1005_8_0.html	-1	0	8A 8B 8C 8D	8A
OTHER	AGH1006	AGH1006_1_0.html	-1	0	1A 1A	
MISSING1	AGH1006	AGH1006_2_0.html	0	0	2B 2A	2A
SHIFTED	AGH1006	AGH1006_3_0.html	0	0	4A	3A
OTHER	AGH1006	AGH1006_4_0.html	-1	0	5A	4A 4B 4C
OTHER	AGH1006	AGH1006_5_0.html	-1	0	6A 6B	5A
MISSING1	AGH1006	AGH1006_6_0.html	0	0	7A	
SHIFTED	AGH1006	AGH1006_7_0.html	0	0	8A	7A
SHIFTED	AGH1006	AGH1006_8_0.html	0	0	9A 9B 9C	8A 8B 8C
OTHER	AGH1007	AGH1007_3_0.html	-1	0	2A	3A 1A
SHIFTED	AGH1007	AGH1007_5_0.html	1	0	5A 5B	5A 3A
SHIFTED	AGH1007	AGH1007_6_0.html	1	0	6A 6B	6A 4A
OTHER	AGH1007	AGH1007_7_0.html	-1	0	1A	7A 5A
OTHER	AGH1007	AGH1007_9_0.html	-1	0	9A 9B 9D	9A 6A
MISSING1	AGH1008	AGH1008_1_0.html	0	0	1A 1A 1B	1A 1B
OTHER	AGH1008	AGH1008_2_0.html	-1	0	2A	2A 2B 2C
SHIFTED	AGH1008	AGH1008_3_0.html	1	0	3A 3A 3A 3B 3C	3A 3B 3C 3D 3E
OTHER	AGH1008	AGH1008_4_0.html	-1	0	4A 4B 4C 4C	4A 4B 4C 4D 4E
OTHER	AGH1008	AGH1008_5_0.html	-1	0	5A 5B 5C	5A 5C 5B 5D
EXTRA1	AGH1008	AGH1008_7_0.html	1	0	7A	7A 7B
OTHER	AGH1009	AGH1009_1_0.html	-1	0	1A 1B	
MISSING1	AGH1009	AGH1009_2_0.html	0	0	2A	
OTHER	AGH1009	AGH1009_3_0.html	-1	0	3A	3A 3B 3C
OTHER	AGH1009	AGH1009_4_0.html	-1	0	4A 4A 4B	4A
OTHER	AGH1009	AGH1009_6_0.html	-1	0	6C 6D	6A 6B 6C 6D
OTHER	AGH1009	AGH1009_8_0.html	-1	0	3B 3C 3D	8A 8B
OTHER	AGH1009	AGH1009_9_0.html	-1	0	9A 9B 9C 9D	9A
OTHER	ANZH101	ANZH101_3_0.html	-1	0	4A	3A 3B 3C
OTHER	ANZH103	ANZH103_1_0.html	-1	0	3A 3B	1A 1B 1C 1D 1E 1F 1G
MISSING1	ANZH104	ANZH104_1_0.html	0	0	1A 1B	1B
EXTRA1	ANZH104	ANZH104_3_0.html	1	0	3A	3A 3B
MISSING1	ANZH104	ANZH104_5_0.html	0	0	5A 5B	5B
MISSING1	ANZH105	ANZH105_4_0.html	2	0	4A 4B 4C	4A 4B
OTHER	ANZH105	ANZH105_5_0.html	-1	0	5A 5B 5C 5D	5A 5B
MISSING1	ANZH105	ANZH105_6_0.html	0	0	6A 6B	6B
OTHER	ANZH203	ANZH203_2_0.html	-1	0	3A	2A 2B
SHIFTED	ANZH203	ANZH203_3_0.html	0	0	4A 4B 4C	3A 3B 3C
SHIFTED	ANZH203	ANZH203_4_0.html	0	0	5A	4A
SHIFTED	ANZH203	ANZH203_5_0.html	0	0	6A	5A
OTHER	ANZH203	ANZH203_6_0.html	-1	0	7A 7B	6A
MISSING1	ANZH205	ANZH205_2_0.html	1	0	2A 2B	2A
MISSING1	ANZH205	ANZH205_3_0.html	0	0	3A	
MISSING1	ANZH205	ANZH205_6_0.html	0	0	6A	
MISSING1	ANZH205	ANZH205_7_0.html	0	0	7A	
OTHER	ANZH301	ANZH301_1_0.html	-1	0	1A 1B 1C	1A 1B 1C 1D 1E 1F 1G 1H
